Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
P42	(5.0, 40.380441459519226)	(10.0, 56.09225056991141)	(15.0, 65.548684767326)	(20.0, 72.1207529655869)	(25.0, 77.03086394474248)	(30.0, 80.85302428436873)	(35.0, 83.84113463559797)	(40.0, 86.33509425720409)	(45.0, 88.38404521069658)	(50.0, 90.24461826173608)	(55.0, 91.78030768390734)	(60.0, 93.11260357371992)	(65.0, 94.27085466235309)	(70.0, 95.3792811608447)	(75.0, 96.37031273461922)	(80.0, 97.24872708410118)	(85.0, 98.06912649985667)	(90.0, 98.76803581910261)	(95.0, 99.40142238966925)	(100.0, 100.0)
P43	(5.0, 26.811121263542617)	(10.0, 40.10386559009454)	(15.0, 49.40421802450258)	(20.0, 56.658959106420276)	(25.0, 62.53100117478136)	(30.0, 67.40354672086822)	(35.0, 71.67098662986928)	(40.0, 75.4107072929681)	(45.0, 78.7122158614131)	(50.0, 81.68273444347064)	(55.0, 84.20198780465064)	(60.0, 86.60469539597591)	(65.0, 88.70624871799653)	(70.0, 90.69405336863893)	(75.0, 92.57463591101498)	(80.0, 94.34706397896582)	(85.0, 95.89852126727209)	(90.0, 97.2840173793052)	(95.0, 98.64713670352621)	(100.0, 100.0)
P44	(5.0, 30.846437740693197)	(10.0, 44.59483311938383)	(15.0, 54.14714377406932)	(20.0, 61.364730423620024)	(25.0, 67.11007702182285)	(30.0, 71.79958279845957)	(35.0, 75.77743902439025)	(40.0, 79.14152759948652)	(45.0, 82.06594993581514)	(50.0, 84.62772785622593)	(55.0, 86.94801026957639)	(60.0, 89.01716944801026)	(65.0, 90.90500641848524)	(70.0, 92.63478818998716)	(75.0, 94.15998074454428)	(80.0, 95.50786264441592)	(85.0, 96.76347881899872)	(90.0, 97.93966623876766)	(95.0, 99.02679717586649)	(100.0, 100.0)
P45	(5.0, 36.080304147663405)	(10.0, 51.15666325383585)	(15.0, 60.864615626946566)	(20.0, 67.82249461226185)	(25.0, 73.06703706620654)	(30.0, 77.39584302887542)	(35.0, 80.87120262907303)	(40.0, 83.75802790884161)	(45.0, 86.15369194309403)	(50.0, 88.27943208586014)	(55.0, 90.09300560611159)	(60.0, 91.68247785836513)	(65.0, 93.11658277785335)	(70.0, 94.37670492378409)	(75.0, 95.5279983389299)	(80.0, 96.57905476519485)	(85.0, 97.5592293207512)	(90.0, 98.42269938211057)	(95.0, 99.24535866942557)	(100.0, 100.0)
P46	(5.0, 38.63683793146625)	(10.0, 54.38805181073222)	(15.0, 64.2910805960182)	(20.0, 71.06654423529085)	(25.0, 76.1676196836262)	(30.0, 80.09933636629242)	(35.0, 83.24846612963813)	(40.0, 85.85082849868526)	(45.0, 88.03998497433115)	(50.0, 89.8882813695619)	(55.0, 91.48893248187876)	(60.0, 92.87185052242025)	(65.0, 94.1253808589674)	(70.0, 95.19039470206046)	(75.0, 96.2004535525968)	(80.0, 97.10060241801968)	(85.0, 97.91866661101604)	(90.0, 98.67412385046677)	(95.0, 99.35862654256577)	(100.0, 100.0)
P47	(5.0, 29.043744076234063)	(10.0, 42.99608070837567)	(15.0, 52.56974033625644)	(20.0, 59.885751368336564)	(25.0, 65.5776899234073)	(30.0, 70.4140445552586)	(35.0, 74.49642652822487)	(40.0, 77.91705446876094)	(45.0, 81.06102652993263)	(50.0, 83.68242637452717)	(55.0, 86.08779554788964)	(60.0, 88.33263600112711)	(65.0, 90.25044188091843)	(70.0, 91.96502523204084)	(75.0, 93.60532135629691)	(80.0, 95.16193761580696)	(85.0, 96.50679258493933)	(90.0, 97.77223707018008)	(95.0, 98.94973230982043)	(100.0, 100.0)
P48	(5.0, 34.65135454349618)	(10.0, 49.16320633482146)	(15.0, 58.58967025946917)	(20.0, 65.53435199560246)	(25.0, 70.97555359119305)	(30.0, 75.45108118347063)	(35.0, 78.89408041835969)	(40.0, 82.02509266756302)	(45.0, 84.57224355784015)	(50.0, 86.88911833963498)	(55.0, 88.8590933063935)	(60.0, 90.71244456659808)	(65.0, 92.36077580763774)	(70.0, 93.76323159091078)	(75.0, 95.05649192919381)	(80.0, 96.25392769330193)	(85.0, 97.29536996456719)	(90.0, 98.27367201253891)	(95.0, 99.20443318650136)	(100.0, 100.0)
P49	(5.0, 28.073279255530885)	(10.0, 41.85161923801605)	(15.0, 51.301670986403884)	(20.0, 58.578290445566886)	(25.0, 64.51210558440295)	(30.0, 69.41360672994418)	(35.0, 73.6622820596743)	(40.0, 77.29439967447168)	(45.0, 80.51076101090696)	(50.0, 83.27863631940697)	(55.0, 85.78290445566888)	(60.0, 88.0616026962237)	(65.0, 90.1067697506347)	(70.0, 91.87152246410785)	(75.0, 93.46554972710466)	(80.0, 95.0383468822702)	(85.0, 96.4368802356542)	(90.0, 97.72926304988191)	(95.0, 98.89072686581687)	(100.0, 100.0)
P50	(5.0, 49.37321583716023)	(10.0, 64.94450722810501)	(15.0, 73.58883742806191)	(20.0, 79.0649516928725)	(25.0, 83.03730655918685)	(30.0, 85.8958865452075)	(35.0, 88.2103172788618)	(40.0, 90.04200335765564)	(45.0, 91.51440721699993)	(50.0, 92.8189282938014)	(55.0, 93.88109718257417)	(60.0, 94.87532906985099)	(65.0, 95.74283231972198)	(70.0, 96.51496247133908)	(75.0, 97.24789819901622)	(80.0, 97.88611406883847)	(85.0, 98.4668447835488)	(90.0, 99.01948616110215)	(95.0, 99.52640071072555)	(100.0, 100.0)
P51	(5.0, 60.21136657484963)	(10.0, 73.9789258030868)	(15.0, 80.66220698184271)	(20.0, 84.74962679808371)	(25.0, 87.52412539584387)	(30.0, 89.57970281259955)	(35.0, 91.2380309929357)	(40.0, 92.50722981118169)	(45.0, 93.65837814879357)	(50.0, 94.62214477111324)	(55.0, 95.4203908782581)	(60.0, 96.12494612775686)	(65.0, 96.79452345706773)	(70.0, 97.3997663974616)	(75.0, 97.94067494893848)	(80.0, 98.4147506886278)	(85.0, 98.86071917102329)	(90.0, 99.2654636760545)	(95.0, 99.64772237525062)	(100.0, 100.0)
P52	(5.0, 52.01873773501298)	(10.0, 67.29885421282522)	(15.0, 75.59093498765588)	(20.0, 80.82990441223016)	(25.0, 84.42045958093308)	(30.0, 87.12413749446097)	(35.0, 89.26061910489334)	(40.0, 90.96790529847439)	(45.0, 92.31499651832627)	(50.0, 93.54117870481737)	(55.0, 94.5533962144711)	(60.0, 95.45926441729442)	(65.0, 96.2252326391087)	(70.0, 96.89561309109324)	(75.0, 97.52484648983985)	(80.0, 98.08191428752295)	(85.0, 98.61809204279294)	(90.0, 99.08590238652909)	(95.0, 99.55941001455973)	(100.0, 100.0)
PNKD	(5.0, 58.57300382694428)	(10.0, 72.42978530193942)	(15.0, 79.45709281961472)	(20.0, 83.74197314652656)	(25.0, 86.63358630083674)	(30.0, 88.81170136861905)	(35.0, 90.47480054485308)	(40.0, 91.9095803333982)	(45.0, 93.1283647921126)	(50.0, 94.18888240254265)	(55.0, 95.02497243302848)	(60.0, 95.80852305896089)	(65.0, 96.49737302977233)	(70.0, 97.1155218265551)	(75.0, 97.71680612311086)	(80.0, 98.25128105338263)	(85.0, 98.7416488292145)	(90.0, 99.20671985470584)	(95.0, 99.60692741778556)	(100.0, 100.0)
PNKIT	(5.0, 62.28407689910718)	(10.0, 74.37170611426481)	(15.0, 80.33423202503693)	(20.0, 84.00373928005311)	(25.0, 86.57110728753167)	(30.0, 88.59384102640527)	(35.0, 90.20132500575795)	(40.0, 91.59949059083334)	(45.0, 92.78698297001802)	(50.0, 93.81393017300944)	(55.0, 94.73587947595887)	(60.0, 95.54605682079907)	(65.0, 96.28984839658045)	(70.0, 96.9123843329585)	(75.0, 97.5423717332105)	(80.0, 98.12019888634485)	(85.0, 98.64518838655485)	(90.0, 99.13224316158838)	(95.0, 99.60845944371435)	(100.0, 100.0)
PNKV	(5.0, 57.27409462806167)	(10.0, 71.9201794536001)	(15.0, 79.04062341973211)	(20.0, 83.42712290756324)	(25.0, 86.42039339755974)	(30.0, 88.70375893053952)	(35.0, 90.49699830141462)	(40.0, 91.88698572410306)	(45.0, 93.09609325363381)	(50.0, 94.15932990158578)	(55.0, 95.05076306678941)	(60.0, 95.82874110187622)	(65.0, 96.56587529012097)	(70.0, 97.197982443629)	(75.0, 97.77044461444706)	(80.0, 98.27159213204881)	(85.0, 98.7318958028085)	(90.0, 99.2006275689483)	(95.0, 99.61749413274899)	(100.0, 100.0)
