Sample	5.0	10.0	15.0	20.0	25.0	30.0	35.0	40.0	45.0	50.0	55.0	60.0	65.0	70.0	75.0	80.0	85.0	90.0	95.0	100.0
IT1G	52.34499763087236	63.927399399821	70.27490655107664	74.6279592159065	77.96491936191495	80.67318323008617	83.01291613288174	85.01833880280084	86.84037344471157	88.50402751697875	90.0233402944738	91.44174578383027	92.75178562027271	93.98022217152484	95.10029306986294	96.21466051278452	97.2465472158363	98.21394099994735	99.13395223136725	100.0
P1G	52.71570380627541	64.31675211424349	70.4732252460423	74.78114234985792	78.05561808968385	80.83227497270916	83.20286118414626	85.19838421251598	86.98619954380763	88.62832215506293	90.12815012721566	91.46869305559686	92.73150488261754	93.94207121528117	95.10421489463825	96.18522939170104	97.20677747242244	98.197318064623	99.13094080118253	100.0
P2G	52.70376417270862	63.96543853660743	70.13460217715834	74.41078133417777	77.66664884582643	80.35745863851523	82.64483202487241	84.64885405143094	86.48960976472378	88.15023790821719	89.71216601346433	91.1926665871583	92.53210835619198	93.80122634797522	94.98480430661166	96.08407598257945	97.13975514165512	98.15430928479485	99.10923215482747	100.0
P31	33.17520996235158	47.21980886185925	56.278019113814075	62.97075007240081	68.29539530842746	72.70547350130322	76.36895453229076	79.48682305241819	82.19461337966985	84.66608746017955	86.90645815233131	88.88039386041123	90.65044888502752	92.27512308137851	93.77932232841007	95.208224732117	96.53692441355344	97.789168838691	98.95569070373588	100.0
P32	45.67801462982119	59.57449756169647	67.47958844391901	72.85355401211763	76.87629303975173	80.0169942367371	82.65387173045663	84.91022609723659	86.87379932023053	88.58892419092656	90.19460248263633	91.56984261859022	92.90305896261268	94.11251293039751	95.25731491059554	96.29867371065465	97.32571671346238	98.26963573222994	99.12673636766662	100.0
P33	48.84230879993417	61.74558769078866	68.90278520590776	73.81248200106965	77.45916814086478	80.42827169128235	82.8415682725141	84.9940346402271	86.88608219854363	88.61233389558564	90.17854938906488	91.59707080264944	92.87160077343975	94.05932447443124	95.17546385814786	96.22001892458962	97.2147940922368	98.21244908873987	99.12823466491135	100.0
P34	34.708469090057285	49.40692944909389	58.80129474648097	65.67005259907579	70.87139845397049	75.10221682744522	78.49613492621222	81.45509912902745	84.0259588151366	86.2896356396005	88.31107987819162	90.12968759982112	91.7694158734215	93.21056666453715	94.58463766264188	95.83093762644009	97.01228731446581	98.08343448540217	99.09016375987564	100.0
P35	34.31911930569603	48.68335354326956	57.966333246845394	64.74628145998697	70.10765100528988	74.30566954900954	77.89791952385744	80.93205754801404	83.60188720207995	85.8714012634299	87.95081837003775	89.81736924877285	91.48005570529148	93.02360061635893	94.41623290318823	95.6849579827483	96.91343969584487	98.00954191399569	99.05692847800647	100.0
P36	33.367005422686475	47.37551965099434	56.47808446514106	63.20343677325178	68.46349816006084	72.87657699160233	76.57088622349016	79.78120542379655	82.57080851866858	84.99131371101576	87.16593864649302	89.10911422053738	90.83860153522527	92.46207727189473	94.02449922017661	95.39210408005816	96.64814701752243	97.84091602883959	98.94265939201527	100.0
