source	destination	artifact_type	description	status	action	exported_at	analysis_root	quarto_dir
results/04_differential_expression/summary/tables/deg_contrast_status.tsv	tables/05_de/deg_contrast_status.tsv	table	Differential expression table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/summary/tables/deg_direction_summary.tsv	tables/05_de/deg_direction_summary.tsv	table	Differential expression table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/summary/tables/deg_top50_by_contrast_annotated.tsv	tables/05_de/deg_top50_by_contrast_annotated.tsv	table	Differential expression table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/summary/tables/deg_significant_all_contrasts_annotated.tsv	tables/05_de/deg_significant_all_contrasts_annotated.tsv	table	Differential expression table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/summary/overlaps/tables/deg_overlap_intersections.tsv	tables/05_de/deg_overlap_intersections.tsv	table	Differential expression table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/06_interpretation/tables/deg_directional_overlaps.tsv	tables/05_de/deg_directional_overlaps.tsv	table	Differential expression table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/06_interpretation/tables/gene_effect_correlations.tsv	tables/05_de/gene_effect_correlations.tsv	table	Differential expression table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/06_interpretation/tables/development_neural_crest_summary.tsv	tables/05_de/development_neural_crest_summary.tsv	table	Differential expression table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/05_functional_enrichment/summary/tables/go_enrichment_combined_summary.tsv	tables/05_de/go_enrichment_combined_summary.tsv	table	Differential expression table	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/N_OD_vs_N_BL/tables/deg_N_OD_vs_N_BL_significant_annotated.tsv	tables/05_de/by_contrast/N_OD_vs_N_BL_significant_annotated.tsv	table	Significant annotated DEG table N_OD_vs_N_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
