Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
P42	('1', 0.03580333354300168)	('2', 0.02838435368683853)	('3', 0.2852797278500536)	('4', 0.02961030350902819)	('5', 0.026320010342180702)	('6', 0.03396412021512628)	('7', 0.031847042767947455)	('8', 0.02924586101245148)	('9', 0.01953412831086045)	('10', 0.04114359279670525)	('11', 0.04010979450031847)	('12', 0.02288809593881165)	('13', 0.028995859389106905)	('14', 0.022844937929534515)	('15', 0.0174692077770208)	('16', 0.02674844213032394)	('17', 0.017453177659289294)	('18', 0.058813085219818234)	('19', 0.09470375798037832)	('20', 0.018588220185342005)	('21', 0.013248538120820257)	('22', 0.06960445028600708)	('MT', 0.005756333946181438)
P43	('1', 0.04447315729138037)	('2', 0.023590013028132004)	('3', 0.25927081497464566)	('4', 0.048914266910583294)	('5', 0.03186492266182188)	('6', 0.0273114379943472)	('7', 0.026754876079490834)	('8', 0.024621557416239927)	('9', 0.014736348401541746)	('10', 0.08156501971858598)	('11', 0.025372109966051097)	('12', 0.01617550083704772)	('13', 0.022626132226503566)	('14', 0.02175561416198865)	('15', 0.013195013829829839)	('16', 0.02265544588496236)	('17', 0.012384821900910148)	('18', 0.06137524649136111)	('19', 0.12567744912905543)	('20', 0.014818723034868)	('21', 0.011652884066396484)	('22', 0.06348142020084808)	('MT', 0.005294531061706733)
P44	('1', 0.04749772853649967)	('2', 0.023234699817524906)	('3', 0.3047459686719212)	('4', 0.029067872572983225)	('5', 0.031152225383496455)	('6', 0.028491076751829568)	('7', 0.02727184709453609)	('8', 0.02415543883720605)	('9', 0.014805225966065597)	('10', 0.07763232472077412)	('11', 0.024214216620948494)	('12', 0.015987049012668036)	('13', 0.021147523866582165)	('14', 0.02249413362005524)	('15', 0.012497478053365062)	('16', 0.021548861510041636)	('17', 0.012684878115076088)	('18', 0.053167187378450574)	('19', 0.10718594683605924)	('20', 0.014476443031644595)	('21', 0.02170125463042671)	('22', 0.05664970048667977)	('MT', 0.007795001271330714)
P45	('1', 0.033775433112539645)	('2', 0.02809089341014949)	('3', 0.2853790608441279)	('4', 0.04126486053827621)	('5', 0.022423329051669584)	('6', 0.033822806896378066)	('7', 0.03822473362306054)	('8', 0.024036458260474267)	('9', 0.019728933307426026)	('10', 0.026042912474843877)	('11', 0.03165338938047005)	('12', 0.02062859509884727)	('13', 0.029362079464539812)	('14', 0.02313286699129602)	('15', 0.01744446068279297)	('16', 0.024816098083285627)	('17', 0.015735829446582097)	('18', 0.06451787524147033)	('19', 0.08538365361773029)	('20', 0.018314761416413895)	('21', 0.013325330611326458)	('22', 0.08478876212114216)	('MT', 0.017523647518552087)
P46	('1', 0.03993728990477018)	('2', 0.028428986316689712)	('3', 0.2387083939224659)	('4', 0.030767332571740698)	('5', 0.029305106911484267)	('6', 0.033847768777636504)	('7', 0.03417378926291964)	('8', 0.029437893481752787)	('9', 0.020304782683928702)	('10', 0.057084137910543856)	('11', 0.043417512847164705)	('12', 0.022841741643145442)	('13', 0.029830691451395268)	('14', 0.024717731573613066)	('15', 0.019391230107490526)	('16', 0.025348879424415407)	('17', 0.016579038141506137)	('18', 0.06890521625824277)	('19', 0.0932713872457054)	('20', 0.01846918855769818)	('21', 0.014375856832878935)	('22', 0.07211284070284162)	('MT', 0.007775314145984948)
P47	('1', 0.038470696447706065)	('2', 0.03914148242447474)	('3', 0.21840866607115794)	('4', 0.029883780689260238)	('5', 0.03632728531079351)	('6', 0.027735945815415816)	('7', 0.02981034665619126)	('8', 0.031632852543171344)	('9', 0.015979975512404213)	('10', 0.09202895321076117)	('11', 0.02661025222415355)	('12', 0.016345154996129783)	('13', 0.024312231481472265)	('14', 0.029493791414241785)	('15', 0.013814777471102215)	('16', 0.022233480632713822)	('17', 0.019470156493749058)	('18', 0.0753092182899256)	('19', 0.10258019248932783)	('20', 0.01446237569345302)	('21', 0.010713442966068427)	('22', 0.07691853692126416)	('MT', 0.008010023598056018)
P48	('1', 0.03664580407476238)	('2', 0.03046494382322716)	('3', 0.21516631975887612)	('4', 0.031095596034568823)	('5', 0.026673843545188026)	('6', 0.03754269226407342)	('7', 0.04372507223578256)	('8', 0.024598000770118197)	('9', 0.021605576765150233)	('10', 0.03746316024163804)	('11', 0.03160657028221393)	('12', 0.021329019354332953)	('13', 0.0320041670727169)	('14', 0.02474189927408666)	('15', 0.01797407876621011)	('16', 0.026898572165907093)	('17', 0.016109857025359255)	('18', 0.07327615766108986)	('19', 0.09555579364504947)	('20', 0.01954309486327616)	('21', 0.013968096387745458)	('22', 0.10138506030217989)	('MT', 0.020243115968390072)
P49	('1', 0.04399504699159729)	('2', 0.026611282411160897)	('3', 0.2585770508586662)	('4', 0.02495347983839785)	('5', 0.02138380428746538)	('6', 0.030134087293856474)	('7', 0.03334660425931569)	('8', 0.024983771798655754)	('9', 0.01863869772679647)	('10', 0.020903089981210456)	('11', 0.038374046285091896)	('12', 0.020043112145510297)	('13', 0.03094125887451245)	('14', 0.020312123855638478)	('15', 0.017020465732748704)	('16', 0.024934922601483098)	('17', 0.014282659261601403)	('18', 0.0889803818281123)	('19', 0.09712178961080596)	('20', 0.01821880612903236)	('21', 0.013177821413816525)	('22', 0.10313883723014272)	('MT', 0.009248224159414306)
P50	('1', 0.030418554594277638)	('2', 0.027061184057849765)	('3', 0.26870328058332416)	('4', 0.025823697483692766)	('5', 0.019290812185234624)	('6', 0.02870399776102599)	('7', 0.0350826188458932)	('8', 0.024197215549964603)	('9', 0.01999064372201837)	('10', 0.01988268666838421)	('11', 0.034348348577882014)	('12', 0.020856151423094344)	('13', 0.02922805989711949)	('14', 0.023463072081405655)	('15', 0.017918461713678873)	('16', 0.024368344090702997)	('17', 0.015404992251665871)	('18', 0.11308606611724126)	('19', 0.08164299730878306)	('20', 0.016601649402202715)	('21', 0.012828224503096404)	('22', 0.10246194577259121)	('MT', 0.007811708494044243)
P51	('1', 0.03585015239921739)	('2', 0.030179889884976146)	('3', 0.30438674512263086)	('4', 0.02961069716662081)	('5', 0.023754837604868732)	('6', 0.030135189364749845)	('7', 0.0310261526990491)	('8', 0.02803971916981962)	('9', 0.02043971661028063)	('10', 0.02494471852841134)	('11', 0.06296892506370662)	('12', 0.026242465737980603)	('13', 0.03034482779634967)	('14', 0.01969757218585544)	('15', 0.02143665704706596)	('16', 0.023759316798102042)	('17', 0.018756027485792272)	('18', 0.0529806593311498)	('19', 0.07876734430461439)	('20', 0.01816623657270416)	('21', 0.011757943178843825)	('22', 0.06948432297603692)	('MT', 0.005293278985788769)
P52	('1', 0.03235888116069263)	('2', 0.02753673687671276)	('3', 0.3077776952167025)	('4', 0.028677019355687984)	('5', 0.023730255319415708)	('6', 0.030642658101730797)	('7', 0.035848674681120324)	('8', 0.024745330771111292)	('9', 0.019565124927410978)	('10', 0.026746881382623853)	('11', 0.03823442058928552)	('12', 0.020871077680286704)	('13', 0.029253811484406096)	('14', 0.0217128189194983)	('15', 0.01753890876643432)	('16', 0.02369883610759835)	('17', 0.01649984313150997)	('18', 0.07539867933307232)	('19', 0.07560704449854519)	('20', 0.016807472451701146)	('21', 0.011368909659239122)	('22', 0.08038617088970972)	('MT', 0.0140501429772343)
PNKD	('1', 0.04628038221318889)	('2', 0.03400164616960201)	('3', 0.25767171307348957)	('4', 0.0379131152664211)	('5', 0.02835668215561351)	('6', 0.034890060165193304)	('7', 0.034985467442567524)	('8', 0.046109571947898914)	('9', 0.025681753277955747)	('10', 0.022561886586769973)	('11', 0.11171444169124345)	('12', 0.030774994403169515)	('13', 0.0328795144368564)	('14', 0.018755339701566093)	('15', 0.02261086557055866)	('16', 0.02801506162503355)	('17', 0.021361772516464955)	('18', 0.0228616356748015)	('19', 0.05527804221286246)	('20', 0.022147614374560802)	('21', 0.01660748659386605)	('22', 0.03896167821544198)	('MT', 0.009069824470814537)
PNKIT	('1', 0.053527389108671934)	('2', 0.025899306865353418)	('3', 0.24371824406332476)	('4', 0.05135302361282129)	('5', 0.029050994040028696)	('6', 0.031107292937879994)	('7', 0.03679349191929813)	('8', 0.03350699488117846)	('9', 0.033372583666911336)	('10', 0.02884831415415531)	('11', 0.03219404381586328)	('12', 0.030030641172387365)	('13', 0.08067004953714339)	('14', 0.028282597750854562)	('15', 0.021148704282206412)	('16', 0.02617786297796583)	('17', 0.02539591261676476)	('18', 0.023843157460943593)	('19', 0.03543951320948965)	('20', 0.035751256866109186)	('21', 0.015960351681660028)	('22', 0.0677156455351043)	('MT', 0.010078482395735383)
PNKV	('1', 0.0467535966809637)	('2', 0.03584441185899452)	('3', 0.2592703164676038)	('4', 0.04103540941596872)	('5', 0.030799430767556576)	('6', 0.035041266114695734)	('7', 0.03540077049897899)	('8', 0.042575333128343724)	('9', 0.02817006750014881)	('10', 0.02693943086909486)	('11', 0.06843694984001467)	('12', 0.0322780268286217)	('13', 0.03418139137320447)	('14', 0.02209517183257397)	('15', 0.023790530054117697)	('16', 0.028338930079340397)	('17', 0.023404758157515748)	('18', 0.029721064771638564)	('19', 0.05685349195673321)	('20', 0.023418811644498577)	('21', 0.018273285579437408)	('22', 0.04203600297345296)	('MT', 0.01417389814223939)
