Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent	reads_mapped_MQ1
P42	54980146.0	0.0	54980146.0	1.0	27490083.0	27490063.0	54980146.0	54980046.0	0.0	54980046.0	54980146.0	36392898.0	1928753.0	0.0	21251359.0	0.0	8160882355.0	4080546688.0	4080335667.0	8160882355.0	8107792637.0	0.0	5414721054.0	38157642.0	0.004706292	148.0	148.0	148.0	150.0	150.0	150.0	39.1	793.9	1196.3	27475118.0	14905.0	0.0	0.0	100.0	100.0	99.99981811616142	0.0	99.99981811616142	100.0	66.1927998517865	3.508089993067679	0.0	53051393.0
P43	40867714.0	0.0	40867714.0	1.0	20433867.0	20433847.0	40867714.0	40867592.0	0.0	40867592.0	40867714.0	30147474.0	1241444.0	0.0	14464854.0	0.0	5866348265.0	2933199952.0	2933148313.0	5866348265.0	5823737743.0	0.0	4287654710.0	31447715.0	0.00539992	144.0	144.0	144.0	150.0	150.0	150.0	39.1	774.8	1208.2	20424810.0	8986.0	0.0	0.0	100.0	100.0	99.99970147583983	0.0	99.99970147583983	100.0	73.7684373537507	3.037713340168721	0.0	39626270.0
P44	48965879.0	0.0	48965879.0	1.0	24482914.0	24482965.0	48965879.0	48965708.0	0.0	48965708.0	48965879.0	34663079.0	1895131.0	0.0	21877214.0	0.0	7125638281.0	3563171112.0	3562467169.0	7125638281.0	7070352313.0	0.0	5019933737.0	36087949.0	0.005104123	146.0	146.0	146.0	150.0	150.0	150.0	39.1	821.9	1266.2	24472229.0	10625.0	0.0	0.0	100.0	100.0	99.99965077722796	0.0	99.99965077722796	100.0	70.79027214032041	3.870309363791876	0.0	47070748.0
P45	46299182.0	0.0	46299182.0	1.0	23149610.0	23149572.0	46299182.0	46299084.0	0.0	46299084.0	46299182.0	30452762.0	1534475.0	0.0	17322504.0	0.0	6746812342.0	3373424537.0	3373387805.0	6746812342.0	6701404418.0	0.0	4406035082.0	37513171.0	0.005597807	146.0	146.0	146.0	150.0	150.0	150.0	39.0	689.5	1107.6	23138164.0	11378.0	0.0	0.0	100.0	100.0	99.99978833319345	0.0	99.99978833319345	100.0	65.77386615599386	3.31425941823335	0.0	44764707.0
P46	41509162.0	0.0	41509162.0	1.0	20754614.0	20754548.0	41509162.0	41509076.0	0.0	41509076.0	41509162.0	25825570.0	1139435.0	0.0	13149980.0	0.0	6164437911.0	3082294724.0	3082143187.0	6164437911.0	6126937468.0	0.0	3846649674.0	32306254.0	0.005272822	149.0	149.0	149.0	150.0	150.0	150.0	38.9	820.1	1200.6	20744891.0	9647.0	0.0	0.0	100.0	100.0	99.9997928168244	0.0	99.9997928168244	100.0	62.21655354063761	2.745020484875122	0.0	40369727.0
P47	40275681.0	0.0	40275681.0	1.0	20137812.0	20137869.0	40275681.0	40275516.0	0.0	40275516.0	40275681.0	29335591.0	1373682.0	0.0	13977093.0	0.0	5923632087.0	2961988526.0	2961643561.0	5923632087.0	5883139130.0	0.0	4310256586.0	29048614.0	0.004937605	147.0	147.0	147.0	150.0	150.0	150.0	39.0	795.9	1190.1	20121663.0	16095.0	0.0	0.0	100.0	100.0	99.99959032350067	0.0	99.99959032350067	100.0	72.83698319092358	3.41069838148733	0.0	38901999.0
P48	49959723.0	0.0	49959723.0	1.0	24979869.0	24979854.0	49959723.0	49959644.0	0.0	49959644.0	49959723.0	33819297.0	1108014.0	0.0	13209801.0	0.0	7403712322.0	3701946483.0	3701765839.0	7403712322.0	7350527779.0	0.0	5021197684.0	40340320.0	0.005488085	148.0	148.0	148.0	150.0	150.0	150.0	38.9	651.0	802.2	24963875.0	15947.0	0.0	0.0	100.0	100.0	99.99984187262207	0.0	99.99984187262207	100.0	67.69312351871926	2.217814538323201	0.0	48851709.0
P49	43985408.0	0.0	43985408.0	1.0	21992656.0	21992752.0	43985408.0	43985178.0	0.0	43985178.0	43985408.0	34660945.0	1270680.0	0.0	14644010.0	0.0	6431059394.0	3215785509.0	3215273885.0	6431059394.0	6378559316.0	0.0	5055342207.0	39594732.0	0.006207472	146.0	146.0	146.0	150.0	150.0	150.0	38.7	720.1	1059.1	21978069.0	14520.0	0.0	0.0	100.0	100.0	99.99947709931439	0.0	99.99947709931439	100.0	78.80100827983681	2.8888671443038567	0.0	42714728.0
P50	57924551.0	0.0	57924551.0	1.0	28962283.0	28962268.0	57924551.0	57924498.0	0.0	57924498.0	57924551.0	34940968.0	1846167.0	0.0	20940143.0	0.0	8615332422.0	4307723558.0	4307608864.0	8615332422.0	8562276600.0	0.0	5215045435.0	41274313.0	0.004820484	149.0	149.0	149.0	150.0	150.0	150.0	39.0	777.6	1136.9	28950383.0	11866.0	0.0	0.0	100.0	100.0	99.99990850166452	0.0	99.99990850166452	100.0	60.321517209516216	3.1871925947255075	0.0	56078384.0
P51	45486852.0	0.0	45486852.0	1.0	22743466.0	22743386.0	45486852.0	45486722.0	0.0	45486722.0	45486852.0	16044729.0	1818445.0	0.0	20149968.0	0.0	6701447603.0	3350745278.0	3350702325.0	6701447603.0	6650754377.0	0.0	2382309058.0	38811613.0	0.005835671	147.0	147.0	147.0	150.0	150.0	150.0	38.8	856.5	1319.8	22720948.0	22413.0	0.0	0.0	100.0	100.0	99.9997142031284	0.0	99.9997142031284	100.0	35.27333348986208	3.997737631964507	0.0	43668407.0
P52	48234147.0	0.0	48234147.0	1.0	24117100.0	24117047.0	48234147.0	48234054.0	0.0	48234054.0	48234147.0	24606678.0	1811697.0	0.0	19877046.0	0.0	7172399802.0	3586257068.0	3586142734.0	7172399802.0	7121029672.0	0.0	3673633708.0	40993874.0	0.005756734	149.0	149.0	149.0	150.0	150.0	150.0	38.8	849.3	1253.0	24103768.0	13259.0	0.0	0.0	100.0	100.0	99.99980719053661	0.0	99.99980719053661	100.0	51.01505785932111	3.7560465203209668	0.0	46422450.0
PNKD	49456965.0	0.0	49456965.0	1.0	24728517.0	24728448.0	49456965.0	49456846.0	0.0	49456846.0	49456965.0	24737824.0	1771978.0	0.0	20328068.0	0.0	7320633957.0	3660358197.0	3660275760.0	7320633957.0	7282959425.0	0.0	3666489818.0	33473811.0	0.004596183	148.0	148.0	148.0	150.0	150.0	150.0	39.1	970.2	1374.8	24715290.0	13133.0	0.0	0.0	100.0	100.0	99.99975938677191	0.0	99.99975938677191	100.0	50.01888813840477	3.5828684594778513	0.0	47684987.0
PNKIT	45761370.0	0.0	45761370.0	1.0	22880762.0	22880608.0	45761370.0	45761166.0	0.0	45761166.0	45761370.0	13206996.0	1259141.0	0.0	14441940.0	0.0	6693543562.0	3346806339.0	3346737223.0	6693543562.0	6654339295.0	0.0	1954815436.0	31974086.0	0.004804998	146.0	146.0	146.0	150.0	150.0	150.0	39.1	895.5	1354.1	22861518.0	19065.0	0.0	0.0	100.0	100.0	99.99955420915065	0.0	99.99955420915065	100.0	28.860578256289095	2.7515369404368792	0.0	44502229.0
PNKV	39560409.0	0.0	39560409.0	1.0	19780251.0	19780158.0	39560409.0	39560286.0	0.0	39560286.0	39560409.0	17794455.0	1341403.0	0.0	14803323.0	0.0	5865592966.0	2932834318.0	2932758648.0	5865592966.0	5833991639.0	0.0	2645258582.0	29431398.0	0.005044813	148.0	148.0	148.0	150.0	150.0	150.0	39.0	929.4	1355.2	19768464.0	11679.0	0.0	0.0	100.0	100.0	99.99968908309314	0.0	99.99968908309314	100.0	44.980462664074075	3.3907713138152844	0.0	38219006.0
