Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
P42	('1', 0.6205385368066284)	('2', 0.6275175699046758)	('3', 6.187783261072124)	('4', 0.5220167673491707)	('5', 0.47392155023785126)	('6', 0.6850181534328543)	('7', 0.6244086207384772)	('8', 0.6297855295087313)	('9', 0.4137427065164979)	('10', 0.8811918170136925)	('11', 0.8546304842475789)	('12', 0.4571825641449686)	('13', 0.6220468775606305)	('14', 0.5480916540224172)	('15', 0.41236106975092196)	('16', 0.6599749293614858)	('17', 0.4198708557070278)	('18', 1.4931955136851196)	('19', 2.500396999303793)	('20', 0.5056106742106704)	('21', 0.4613278288368818)	('22', 2.5303593216439744)	('MT', 182.25179159934626)
P43	('1', 0.7708027499623296)	('2', 0.5215249151963981)	('3', 5.623643926875468)	('4', 0.8623372429172113)	('5', 0.5737639670261867)	('6', 0.5508410258821144)	('7', 0.524569122243197)	('8', 0.5302049602203354)	('9', 0.31212330413710604)	('10', 1.7469166653898562)	('11', 0.5406105639982001)	('12', 0.3231005745860448)	('13', 0.48539740498458817)	('14', 0.5219567935399002)	('15', 0.3114686188233528)	('16', 0.5589868084552976)	('17', 0.29794149070307646)	('18', 1.5582457946167585)	('19', 3.3181736752997004)	('20', 0.4030781037610647)	('21', 0.40576550084348123)	('22', 2.307766280695797)	('MT', 167.63061015849314)
P44	('1', 0.8232242098987214)	('2', 0.5136696973205519)	('3', 6.610010525593572)	('4', 0.512453945959716)	('5', 0.5609310465750508)	('6', 0.5746330145528091)	('7', 0.5347051075784214)	('8', 0.5201674805241238)	('9', 0.31358216575155134)	('10', 1.6626882736690438)	('11', 0.5159390102652527)	('12', 0.31933630828280885)	('13', 0.453676885820749)	('14', 0.5396752199391311)	('15', 0.29500327004257315)	('16', 0.5316836129603013)	('17', 0.30515993893419335)	('18', 1.3498527644322051)	('19', 2.8299554901712227)	('20', 0.39376788355315656)	('21', 0.7556601785338145)	('22', 2.0594099530389727)	('MT', 246.79821575703036)
P45	('1', 0.5853912406925097)	('2', 0.6210297885825014)	('3', 6.189937816681937)	('4', 0.7274815368487345)	('5', 0.40375739703376656)	('6', 0.6821680225284992)	('7', 0.7494527317209119)	('8', 0.5176053317986553)	('9', 0.4178687747617427)	('10', 0.5577733932335136)	('11', 0.6744475216419645)	('12', 0.4120497409313545)	('13', 0.6299033804966544)	('14', 0.5549995964378773)	('15', 0.4117769139964499)	('16', 0.6122974377254242)	('17', 0.3785566332947828)	('18', 1.6380334665829914)	('19', 2.2543248108443685)	('20', 0.49817243261744937)	('21', 0.4640018229480155)	('22', 3.082360879545899)	('MT', 554.8177339033921)
P46	('1', 0.6921877096098605)	('2', 0.6285043022337495)	('3', 5.17764025969351)	('4', 0.5424146862986359)	('5', 0.527671589669516)	('6', 0.6826714756342341)	('7', 0.6700279449664677)	('8', 0.6339207905738886)	('9', 0.43006555548256925)	('10', 1.2225980228950863)	('11', 0.925108953851739)	('12', 0.4562566515741516)	('13', 0.6399564925392803)	('14', 0.5930233832830446)	('15', 0.4577304530906867)	('16', 0.6254429632204818)	('17', 0.39884169331013924)	('18', 1.7494229286179428)	('19', 2.462579117909806)	('20', 0.5023729429537076)	('21', 0.5005822348021659)	('22', 2.621547874207484)	('MT', 246.17489996276743)
P47	('1', 0.6667689100770267)	('2', 0.8653347616952095)	('3', 4.7373344687798795)	('4', 0.5268380510460761)	('5', 0.6541138527910455)	('6', 0.5594028717908072)	('7', 0.5844761654938402)	('8', 0.681187426155482)	('9', 0.3384639546415598)	('10', 1.9710276858503417)	('11', 0.5669920035142039)	('12', 0.32648936339898715)	('13', 0.5215692170607844)	('14', 0.707609754488544)	('15', 0.3260981544823183)	('16', 0.5485754923050379)	('17', 0.46839328787953516)	('18', 1.9120130574574505)	('19', 2.708352983642562)	('20', 0.3933852435652248)	('21', 0.3730531880447283)	('22', 2.7962513331574246)	('MT', 253.6060564149795)
P48	('1', 0.6351401221716783)	('2', 0.6735149838588157)	('3', 4.667007227552695)	('4', 0.5482018283200656)	('5', 0.48029271719085637)	('6', 0.7571939319122993)	('7', 0.8572950476241319)	('8', 0.529697687247763)	('9', 0.4576170313007155)	('10', 0.8023662495281099)	('11', 0.6734499341670565)	('12', 0.4260404965611957)	('13', 0.6865839680541185)	('14', 0.5936032104188131)	('15', 0.42427856159403604)	('16', 0.6636791473172935)	('17', 0.3875546096303762)	('18', 1.8603960236174302)	('19', 2.5228927002630406)	('20', 0.531583834894322)	('21', 0.48638359347860977)	('22', 3.6856929601041757)	('MT', 640.9190619039424)
P49	('1', 0.7625162068809923)	('2', 0.5883187426050804)	('3', 5.608596022783781)	('4', 0.43991899223125075)	('5', 0.3850395781059844)	('6', 0.607770691620291)	('7', 0.6538097531877406)	('8', 0.5380049486196616)	('9', 0.39477703436299294)	('10', 0.4476913801076358)	('11', 0.8176464169844275)	('12', 0.4003549018942692)	('13', 0.6637814459093511)	('14', 0.4873248329710797)	('15', 0.401768503002608)	('16', 0.6152292422253538)	('17', 0.34359773807428745)	('18', 2.259107925645001)	('19', 2.564238595053305)	('20', 0.49556239157730103)	('21', 0.45886539980456037)	('22', 3.749448736919024)	('MT', 292.808832483342)
P50	('1', 0.5272102760217751)	('2', 0.5982651092245614)	('3', 5.828236286956157)	('4', 0.4552605506839884)	('5', 0.34735288844176615)	('6', 0.5789273921378301)	('7', 0.6878469001054355)	('8', 0.5210671076253597)	('9', 0.42341193356227086)	('10', 0.42583691898269094)	('11', 0.7318697625834724)	('12', 0.4165951073997931)	('13', 0.6270282646972877)	('14', 0.5629218177441051)	('15', 0.422965719731319)	('16', 0.601249825749135)	('17', 0.370597687431692)	('18', 2.8711230835015416)	('19', 2.1555628819644577)	('20', 0.45157476420879006)	('21', 0.4466920730329717)	('22', 3.724841422267177)	('MT', 247.3271845939078)
P51	('1', 0.6213499948932383)	('2', 0.6672130487646944)	('3', 6.6022188837477485)	('4', 0.522023707361247)	('5', 0.42773271427274967)	('6', 0.6077929191522731)	('7', 0.6083138505133872)	('8', 0.6038122583268319)	('9', 0.4329235242130555)	('10', 0.5342528532585064)	('11', 1.3416963011196132)	('12', 0.5241850526863605)	('13', 0.6509862366047199)	('14', 0.47258061951720287)	('15', 0.5060128051965544)	('16', 0.5862230536307745)	('17', 0.4512134961241675)	('18', 1.3451170352596076)	('19', 2.0796390295640914)	('20', 0.4941324682950809)	('21', 0.4094237680275939)	('22', 2.525992283942822)	('MT', 167.59096807354797)
P52	('1', 0.5608397537631162)	('2', 0.6087785685954048)	('3', 6.675769375362967)	('4', 0.5055633737999854)	('5', 0.42729008242425015)	('6', 0.618027993546362)	('7', 0.7028665636568736)	('8', 0.5328703174756252)	('9', 0.41439923051492683)	('10', 0.572850628807784)	('11', 0.8146713736687742)	('12', 0.4168932547229489)	('13', 0.6275807123502061)	('14', 0.520930057756543)	('15', 0.4140063632824961)	('16', 0.584730789548686)	('17', 0.396936500040241)	('18', 1.9142843688123472)	('19', 1.9961998469961408)	('20', 0.457173273898656)	('21', 0.39587721766050343)	('22', 2.922311662634223)	('MT', 444.8428033829732)
PNKD	('1', 0.8021253279930208)	('2', 0.7517039356439814)	('3', 5.588959036885937)	('4', 0.6683917260584399)	('5', 0.5105941294123715)	('6', 0.7036933221334449)	('7', 0.6859421024074072)	('8', 0.9929316552610639)	('9', 0.5439525091786555)	('10', 0.4832186127956423)	('11', 2.380330505041038)	('12', 0.614720896417153)	('13', 0.7053627559954223)	('14', 0.4499747467246949)	('15', 0.5337300256359965)	('16', 0.6912267348863086)	('17', 0.5138998686083531)	('18', 0.5804302171451835)	('19', 1.4594674363932516)	('20', 0.6024283188182812)	('21', 0.5782898960562074)	('22', 1.416389975845496)	('MT', 287.16050436825026)
PNKIT	('1', 0.9277294718012895)	('2', 0.5725784805837603)	('3', 5.286305067654839)	('4', 0.9053314624687008)	('5', 0.5230960000550008)	('6', 0.627399156275251)	('7', 0.7213911102792776)	('8', 0.7215455378285843)	('9', 0.7068481823230105)	('10', 0.6178580099431091)	('11', 0.6859673952211486)	('12', 0.5998526732329993)	('13', 1.7306109728926722)	('14', 0.6785510133199311)	('15', 0.4992156732561231)	('16', 0.6458968034677249)	('17', 0.6109491217025823)	('18', 0.6053499084379252)	('19', 0.9356846483764113)	('20', 0.9724555071822624)	('21', 0.5557559876891107)	('22', 2.4616948226274067)	('MT', 319.0957109852412)
PNKV	('1', 0.8103270171758457)	('2', 0.7924435579045191)	('3', 5.623633114142463)	('4', 0.7234364133971942)	('5', 0.5545785805566829)	('6', 0.7067429762878925)	('7', 0.6940847362629862)	('8', 0.9168247331418542)	('9', 0.5966562615330038)	('10', 0.5769745523719417)	('11', 1.4582050172741376)	('12', 0.6447434994374434)	('13', 0.7332918638158223)	('14', 0.5301034002797023)	('15', 0.5615760341440327)	('16', 0.6992176698055147)	('17', 0.563047946170528)	('18', 0.7545831070260033)	('19', 1.501062932666425)	('20', 0.6370056426448429)	('21', 0.6362947432540005)	('22', 1.5281521731939294)	('MT', 448.76102646605415)
