Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
P43	10720240	16740845	14452217	43698597	9805593	224.39	3642929	141061	38.72	8005581	2014063	251.58	263286795	960613	3.65	19425391	82749	4.26	3.12	2.82	19374043	727812	37.57	20.43	14.53	2288628	58.57286773756044	0.8426157699924944	12.030832374351474	5.738139263579586	0.49429404549173	1.1543144924882824	1.5414634088064252	4.3475224816907385	7.292983120027692	7.6031586219214145	13.670922823788164	29372481	42605423	64812	110493	27828377	40400570	51926	493095
P44	14302800	22306188	19404428	43698597	13357810	305.68	3642929	186740	51.26	8005581	2469947	308.53	263286795	1365829	5.19	19425391	113013	5.82	4.31	3.89	19374043	930689	48.04	26.64	19.05	2901760	59.88387616924954	0.8371667987376418	11.07292290372519	6.123094631857313	0.5066441652872288	1.19992264030053	1.5945799434668082	4.172335497217185	7.138351026181613	7.479592658324228	13.008766894639281	29372481	42605423	88033	154644	27828377	40400570	76118	661605
P45	15846420	23743361	20221499	43698597	13085355	299.45	3642929	174123	47.8	8005581	2852459	356.31	263286795	1707833	6.49	19425391	78653	4.05	4.14	3.98	19374043	1123059	57.97	32.32	23.27	3521862	55.11163731200482	0.7333544732778143	12.013711959313596	7.192886466242079	0.3312631265640951	1.0819277018110454	1.5308742515434104	4.729991680621795	8.136392316151028	8.584496525154968	14.833039012463315	29372481	42605423	106595	178233	27828377	40400570	106395	808794
P46	15683592	24552812	21330059	43698597	14681920	335.98	3642929	212862	58.43	8005581	2527098	315.67	263286795	1668654	6.34	19425391	142156	7.32	6.09	5.34	19374043	993899	51.3	27.67	19.99	3222753	59.79730549804234	0.8669556871937927	10.292499286843396	6.796182856774206	0.5789805257336715	1.5382515045527168	1.9895969553304118	4.04800476621578	6.736311914089514	7.131659705617426	13.125800010198423	29372481	42605423	110818	235528	27828377	40400570	97069	660055
P47	10940090	17296112	14902717	43698597	10289595	235.47	3642929	142815	39.2	8005581	1981398	247.5	263286795	971144	3.69	19425391	127222	6.55	4.3	3.57	19374043	680132	35.11	19.05	13.6	2393395	59.490797700662434	0.8257058002399614	11.455742192233723	5.614811004924112	0.7355525912413149	1.5409069969019629	1.88733745479909	3.932282584664114	6.584468231935594	6.88784277067586	13.837763076464816	29372481	42605423	59919	139295	27828377	40400570	52472	458725
P48	16140426	24626079	21012162	43698597	13882992	317.7	3642929	193359	53.08	8005581	3022860	377.59	263286795	1484378	5.64	19425391	102154	5.26	4.43	4.06	19374043	1142360	58.96	32.75	23.49	3613917	56.37516228222934	0.7851798087710187	12.275035745641846	6.027666848628237	0.4148204023872416	1.114846581950785	1.5059766518250834	4.638822120240905	7.948646635950449	8.355816612137076	14.675162050767398	29372481	42605423	96320	172389	27828377	40400570	100270	815080
P49	9324463	14528394	12424688	43698597	8545031	195.54	3642929	112883	30.99	8005581	1744141	217.87	263286795	736626	2.8	19425391	49444	2.55	2.12	2.19	19374043	644217	33.25	17.41	12.4	2103706	58.8160742336696	0.7769819568494633	12.005050248499593	5.0702507104364045	0.3403266734093252	0.905007119162655	1.3771377620953837	4.434192795156849	7.162030435022619	7.474542609458417	14.47996247899114	29372481	42605423	68593	82039	27828377	40400570	45403	396311
P50	22983583	36396887	31787686	43698597	22258700	509.37	3642929	306500	84.14	8005581	3825668	477.88	263286795	2222761	8.44	19425391	156288	8.05	7.32	6.36	19374043	1457325	75.22	41.34	29.59	4609201	61.15550486501772	0.8421049855170306	10.510975842521916	6.107008547187016	0.429399360445304	1.2477660520802232	1.5978317046729849	4.003982538396759	6.7885833203262695	7.122850918541468	12.663723136541869	29372481	42605423	127413	297860	27828377	40400570	121663	1013508
P51	29442123	47213368	42097736	43698597	30755401	703.81	3642929	461945	126.81	8005581	3823166	477.56	263286795	3380944	12.84	19425391	222990	11.48	8.83	8.67	19374043	1658825	85.62	44.83	32.92	5115632	65.14129854070144	0.9784199254753443	8.097634551299116	7.160988811473904	0.4723026749542629	1.1601904782560737	1.6785246076916183	3.5134646611103872	5.675329072054339	6.107998904039212	10.835134659319369	29372481	42605423	244723	324775	27828377	40400570	204278	1020689
P52	23627469	38375700	34164420	43698597	25088139	574.12	3642929	346584	95.14	8005581	3341398	417.38	263286795	2435018	9.25	19425391	170709	8.79	7.08	6.6	19374043	1329716	68.63	36.9	26.83	4211280	65.37506547111845	0.9031340144935467	8.707067232649827	6.345208035293168	0.44483618539857256	1.144953707684811	1.5719374500009118	3.4649947753396027	5.748194821201959	6.1237684263739816	10.973819370070123	29372481	42605423	163858	268675	27828377	40400570	144129	876194
PNKD	24719141	40120435	36070114	43698597	27130053	620.84	3642929	456613	125.34	8005581	2954346	369.04	263286795	2732602	10.38	19425391	182936	9.42	7.07	6.67	19374043	1309021	67.57	34.4	24.97	4050321	67.62153251827903	1.1381058056823161	7.363693838314565	6.810997936587676	0.45596713993754057	1.0923809774245967	1.518684929512853	3.2627288313299694	5.124931970453462	5.4515784786481	10.095406492975464	29372481	42605423	171035	255332	27828377	40400570	131052	747124
PNKIT	32554374	52684895	48091889	43698597	36226266	829.0	3642929	729984	200.38	8005581	3722383	464.97	263286795	4263279	16.19	19425391	341793	17.6	10.52	9.23	19374043	1352850	69.83	36.86	26.33	4593006	68.76025092201475	1.3855660146992794	7.065370444412958	8.09203283028276	0.6487495134990778	1.2384972960466183	1.600866813913172	2.567813791789848	4.181870344431739	4.378032830852183	8.717880143824905	29372481	42605423	190914	310708	27828377	40400570	103348	850364
PNKV	21765954	34656308	31122738	43698597	22887514	523.76	3642929	379281	104.11	8005581	2500945	312.4	263286795	2804886	10.65	19425391	166840	8.59	6.26	5.65	19374043	1175795	60.69	32.12	23.22	3533570	66.04140868092469	1.0944068248700929	7.216420745106491	8.093435688533239	0.4814130807009217	1.119773058341933	1.4898009332096194	3.3927301200116298	5.539355201944765	5.868490088442196	10.196037038913666	29372481	42605423	128238	221232	27828377	40400570	114066	743941
