Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
P42	(5.0, 36.073197493770316)	(10.0, 50.701928894449175)	(15.0, 59.823928135607126)	(20.0, 66.41508660028508)	(25.0, 71.51778664232903)	(30.0, 75.61861008849739)	(35.0, 78.93290400648092)	(40.0, 81.7642052155009)	(45.0, 84.20685624045038)	(50.0, 86.43313473548201)	(55.0, 88.42150599382671)	(60.0, 90.14376980423926)	(65.0, 91.69990873386179)	(70.0, 93.15145051632022)	(75.0, 94.52146805172431)	(80.0, 95.76022642205974)	(85.0, 96.93950798322344)	(90.0, 98.04546899514956)	(95.0, 99.04068008654902)	(100.0, 100.0)
P43	(5.0, 25.332920180311785)	(10.0, 38.04106445924909)	(15.0, 47.17027068900644)	(20.0, 54.29199589798071)	(25.0, 60.147702205204254)	(30.0, 65.10701401031407)	(35.0, 69.44585850984558)	(40.0, 73.35310565650752)	(45.0, 76.79703120043087)	(50.0, 79.89789218181684)	(55.0, 82.60478224622445)	(60.0, 85.20248186922231)	(65.0, 87.51023660388216)	(70.0, 89.6615834089551)	(75.0, 91.73472624923455)	(80.0, 93.6632655319714)	(85.0, 95.37342393188878)	(90.0, 96.9367654545052)	(95.0, 98.47723600628582)	(100.0, 100.0)
P44	(5.0, 28.62373706029839)	(10.0, 41.696249038055754)	(15.0, 50.91105429089194)	(20.0, 58.03192413673262)	(25.0, 63.78435071866544)	(30.0, 68.57297122855795)	(35.0, 72.68947198570116)	(40.0, 76.2399771615818)	(45.0, 79.37777722612516)	(50.0, 82.15810639723954)	(55.0, 84.71253382320086)	(60.0, 87.01064965370007)	(65.0, 89.11265298016534)	(70.0, 91.05143608966561)	(75.0, 92.83320507410073)	(80.0, 94.45113323238091)	(85.0, 95.93749224238512)	(90.0, 97.42261003400938)	(95.0, 98.7761586773577)	(100.0, 100.0)
P45	(5.0, 32.811240796679954)	(10.0, 46.93515051505699)	(15.0, 56.31636943757641)	(20.0, 63.24373516367245)	(25.0, 68.64648834748667)	(30.0, 73.18469137697566)	(35.0, 76.93235456972594)	(40.0, 80.0934174675314)	(45.0, 82.75778890064527)	(50.0, 85.19190601237891)	(55.0, 87.31572801482399)	(60.0, 89.23725514919931)	(65.0, 91.01350277127523)	(70.0, 92.60773983454582)	(75.0, 94.05779383466643)	(80.0, 95.39655824611994)	(85.0, 96.67885552637783)	(90.0, 97.86082770946291)	(95.0, 98.95946975719134)	(100.0, 100.0)
P46	(5.0, 34.91802496114739)	(10.0, 49.67618401022633)	(15.0, 59.22358420011351)	(20.0, 65.97624818997205)	(25.0, 71.21193637188185)	(30.0, 75.36134257663115)	(35.0, 78.79787623386888)	(40.0, 81.69710342486461)	(45.0, 84.22292118621144)	(50.0, 86.40131966287069)	(55.0, 88.39354383582715)	(60.0, 90.14655259291477)	(65.0, 91.74998541369415)	(70.0, 93.16140940843248)	(75.0, 94.51183612417985)	(80.0, 95.77050171587997)	(85.0, 96.92520672773466)	(90.0, 98.03058350527493)	(95.0, 99.03199970296977)	(100.0, 100.0)
P47	(5.0, 27.186538539732453)	(10.0, 40.50094197693173)	(15.0, 49.825835919816754)	(20.0, 56.98757132595112)	(25.0, 62.66857320990499)	(30.0, 67.6258115232919)	(35.0, 71.81455930388583)	(40.0, 75.4394762879332)	(45.0, 78.74994917390656)	(50.0, 81.6002764939483)	(55.0, 84.20257247800924)	(60.0, 86.63612583185373)	(65.0, 88.76811103129532)	(70.0, 90.6920480882612)	(75.0, 92.5719358642469)	(80.0, 94.34949377210935)	(85.0, 95.90951600005421)	(90.0, 97.39024952223473)	(95.0, 98.74561201393313)	(100.0, 100.0)
P48	(5.0, 31.419569502843014)	(10.0, 45.05805672352693)	(15.0, 54.23717225583701)	(20.0, 61.14757460773254)	(25.0, 66.6455862076824)	(30.0, 71.28670563702867)	(35.0, 74.98433209129549)	(40.0, 78.36803062933716)	(45.0, 81.23383356692761)	(50.0, 83.84382228603334)	(55.0, 86.09544320240659)	(60.0, 88.22513930195194)	(65.0, 90.19758657231736)	(70.0, 91.95125286295422)	(75.0, 93.55108877721943)	(80.0, 95.06660285554759)	(85.0, 96.43626294739)	(90.0, 97.70393919711938)	(95.0, 98.91919917045546)	(100.0, 100.0)
P49	(5.0, 26.229868435975956)	(10.0, 39.34515708290802)	(15.0, 48.51423386639446)	(20.0, 55.70417942610865)	(25.0, 61.62314279233299)	(30.0, 66.59011001474424)	(35.0, 70.93257343767722)	(40.0, 74.72496313938981)	(45.0, 78.079278666213)	(50.0, 81.0501020755359)	(55.0, 83.76006578201202)	(60.0, 86.20775206986504)	(65.0, 88.497363048656)	(70.0, 90.51477259838947)	(75.0, 92.36418282862651)	(80.0, 94.15263128048089)	(85.0, 95.78583985482591)	(90.0, 97.28294771464216)	(95.0, 98.6652205965748)	(100.0, 100.0)
P50	(5.0, 43.035675255603856)	(10.0, 57.51948903514098)	(15.0, 66.03492240814046)	(20.0, 71.75947737814799)	(25.0, 76.10365009592734)	(30.0, 79.39723632124729)	(35.0, 82.23814265245161)	(40.0, 84.5651698763873)	(45.0, 86.58231537023096)	(50.0, 88.36292104815796)	(55.0, 89.92981518809044)	(60.0, 91.42433882992933)	(65.0, 92.74643611724993)	(70.0, 93.99567719843601)	(75.0, 95.18080481822376)	(80.0, 96.2532481725235)	(85.0, 97.28537775942881)	(90.0, 98.23833693566797)	(95.0, 99.15486800883988)	(100.0, 100.0)
P51	(5.0, 50.473870078238036)	(10.0, 63.42338697264088)	(15.0, 70.42347053209782)	(20.0, 75.13710347739277)	(25.0, 78.6422028031999)	(30.0, 81.458156502465)	(35.0, 83.82728700034743)	(40.0, 85.77818042685689)	(45.0, 87.61868741286727)	(50.0, 89.20587730833)	(55.0, 90.64969676712859)	(60.0, 91.9725749066553)	(65.0, 93.24355822554897)	(70.0, 94.36413452192996)	(75.0, 95.44513002291288)	(80.0, 96.4746704898783)	(85.0, 97.4329655251272)	(90.0, 98.31957534204405)	(95.0, 99.17583988248902)	(100.0, 100.0)
P52	(5.0, 44.972288202692006)	(10.0, 59.278243113722546)	(15.0, 67.52418126339866)	(20.0, 73.04755687053475)	(25.0, 77.10917568399753)	(30.0, 80.31189083820662)	(35.0, 82.97935390071908)	(40.0, 85.23056122756086)	(45.0, 87.17247063290318)	(50.0, 88.93009774369945)	(55.0, 90.47612433035611)	(60.0, 91.91843424872553)	(65.0, 93.18387020599798)	(70.0, 94.32660564051989)	(75.0, 95.41933482426045)	(80.0, 96.43010931922046)	(85.0, 97.39180360508027)	(90.0, 98.27293226468123)	(95.0, 99.16146925773128)	(100.0, 100.0)
PNKD	(5.0, 48.88539902395377)	(10.0, 61.912740188178795)	(15.0, 69.20021730496195)	(20.0, 74.11012248512876)	(25.0, 77.71619789360274)	(30.0, 80.62105392906545)	(35.0, 83.0652782279602)	(40.0, 85.18126246878523)	(45.0, 87.06944171798746)	(50.0, 88.7631421567061)	(55.0, 90.27012467643931)	(60.0, 91.68169388304793)	(65.0, 92.95813227298251)	(70.0, 94.11267901409286)	(75.0, 95.26174747885158)	(80.0, 96.32316352198387)	(85.0, 97.3033184659)	(90.0, 98.2556255050286)	(95.0, 99.13808452067364)	(100.0, 100.0)
PNKIT	(5.0, 51.323537659132974)	(10.0, 63.0479688931262)	(15.0, 69.49320471837437)	(20.0, 73.91481128371936)	(25.0, 77.30497448264259)	(30.0, 80.12310021872021)	(35.0, 82.50191613856019)	(40.0, 84.65827304507131)	(45.0, 86.57394425438842)	(50.0, 88.27463406427009)	(55.0, 89.84820443796384)	(60.0, 91.28717776157629)	(65.0, 92.65277699885966)	(70.0, 93.9080814312153)	(75.0, 95.08860972463687)	(80.0, 96.18314545828426)	(85.0, 97.23795636812294)	(90.0, 98.23247901594601)	(95.0, 99.15736638438675)	(100.0, 100.0)
PNKV	(5.0, 48.36959038331528)	(10.0, 62.07086563128016)	(15.0, 69.43016697691218)	(20.0, 74.39177988312542)	(25.0, 78.00729771529649)	(30.0, 80.97315218699933)	(35.0, 83.42316561553635)	(40.0, 85.50690412024561)	(45.0, 87.34476148139916)	(50.0, 89.00295427814667)	(55.0, 90.49815241852582)	(60.0, 91.84471054556904)	(65.0, 93.10236249641135)	(70.0, 94.2988914511155)	(75.0, 95.39123348058419)	(80.0, 96.41272840089276)	(85.0, 97.38930718009983)	(90.0, 98.30615212217191)	(95.0, 99.16696765111735)	(100.0, 100.0)
