Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
P42	(5.0, 23.066776586974445)	(10.0, 34.424979389942294)	(15.0, 42.53709810387469)	(20.0, 49.185902720527615)	(25.0, 54.87015663643858)	(30.0, 59.81244847485573)	(35.0, 64.11170651277824)	(40.0, 67.96166529266281)	(45.0, 71.59315746084089)	(50.0, 74.9237427864798)	(55.0, 78.27906018136851)	(60.0, 81.17889530090685)	(65.0, 83.93652102225886)	(70.0, 86.42415498763397)	(75.0, 88.93858202802969)	(80.0, 91.26545754328112)	(85.0, 93.52844187963726)	(90.0, 95.86356141797197)	(95.0, 97.95136026380874)	(100.0, 100.0)
P43	(5.0, 19.72851638446039)	(10.0, 30.220226943334865)	(15.0, 38.70055498603698)	(20.0, 45.317968114814946)	(25.0, 51.111739545406344)	(30.0, 56.40001413977164)	(35.0, 61.00957969528792)	(40.0, 65.55198133550144)	(45.0, 69.53586199582877)	(50.0, 73.13089893598219)	(55.0, 76.549188730602)	(60.0, 79.88617483827636)	(65.0, 82.97571494220368)	(70.0, 85.74711018417052)	(75.0, 88.55031991233342)	(80.0, 91.07073420764254)	(85.0, 93.38258687122203)	(90.0, 95.6202057336774)	(95.0, 97.83307999575807)	(100.0, 100.0)
P44	(5.0, 21.032007015236218)	(10.0, 31.79601008440206)	(15.0, 39.8580510796887)	(20.0, 46.64858051079689)	(25.0, 52.42518908253864)	(30.0, 57.55234023895648)	(35.0, 62.14238737257481)	(40.0, 66.32960648909349)	(45.0, 70.19620738792064)	(50.0, 73.72300778252767)	(55.0, 77.07716759837773)	(60.0, 80.15729474953415)	(65.0, 82.99079250246629)	(70.0, 85.64342869670065)	(75.0, 88.30154554422887)	(80.0, 90.84182834593884)	(85.0, 93.11629946289598)	(90.0, 95.65658226460594)	(95.0, 97.92009207497534)	(100.0, 100.0)
P45	(5.0, 22.127848752866303)	(10.0, 33.139126772427346)	(15.0, 41.45257148205344)	(20.0, 48.28021900884459)	(25.0, 54.200009359352336)	(30.0, 59.42252796106509)	(35.0, 64.0600870419767)	(40.0, 68.11736627825354)	(45.0, 71.65988113622538)	(50.0, 75.1017829566194)	(55.0, 78.23950582619683)	(60.0, 81.2461977631148)	(65.0, 84.14057747203894)	(70.0, 86.82671159155787)	(75.0, 89.25312368384108)	(80.0, 91.5321259768824)	(85.0, 93.8017689175909)	(90.0, 96.02461509663532)	(95.0, 98.02517665777528)	(100.0, 100.0)
P46	(5.0, 22.9795216507738)	(10.0, 34.549677304093436)	(15.0, 42.95540320239398)	(20.0, 49.634873489805486)	(25.0, 55.3027088590634)	(30.0, 60.15096362134036)	(35.0, 64.51014984702651)	(40.0, 68.36240201880345)	(45.0, 71.9690033274526)	(50.0, 75.20712834141004)	(55.0, 78.45641930369146)	(60.0, 81.39753009223074)	(65.0, 84.12425467294938)	(70.0, 86.64775899417137)	(75.0, 89.09086848746064)	(80.0, 91.50048013577793)	(85.0, 93.73590299024096)	(90.0, 95.96462627570959)	(95.0, 97.9834297326872)	(100.0, 100.0)
P47	(5.0, 20.043351177378568)	(10.0, 30.904134782751488)	(15.0, 39.27222568885678)	(20.0, 45.840585897730634)	(25.0, 51.47952313704884)	(30.0, 56.901704489474206)	(35.0, 61.4995566356859)	(40.0, 65.9102105159447)	(45.0, 69.86107918158231)	(50.0, 73.59190778022267)	(55.0, 76.95162402706164)	(60.0, 80.11100528752996)	(65.0, 83.0667673815232)	(70.0, 85.79592104831029)	(75.0, 88.59732667739499)	(80.0, 91.22467076094453)	(85.0, 93.61226969687017)	(90.0, 95.92104831028934)	(95.0, 97.96052415514467)	(100.0, 100.0)
P48	(5.0, 20.781475413844536)	(10.0, 31.54510110766071)	(15.0, 39.91001784972003)	(20.0, 46.70758246326137)	(25.0, 52.39259603393892)	(30.0, 57.57879551067315)	(35.0, 62.114580531579335)	(40.0, 66.33004865882583)	(45.0, 70.24476122943003)	(50.0, 73.81959556935716)	(55.0, 76.99831283468225)	(60.0, 80.03765557375847)	(65.0, 83.07699831283468)	(70.0, 85.98674719417072)	(75.0, 88.59574051886446)	(80.0, 91.15827566814191)	(85.0, 93.6083331295694)	(90.0, 95.82854488104262)	(95.0, 97.98029195295499)	(100.0, 100.0)
P49	(5.0, 18.79393398751115)	(10.0, 29.234611953612845)	(15.0, 37.270294380017845)	(20.0, 44.110615521855486)	(25.0, 49.96966993755576)	(30.0, 55.2007136485281)	(35.0, 59.92149866190901)	(40.0, 64.36039250669046)	(45.0, 68.27118644067797)	(50.0, 72.06066012488849)	(55.0, 75.60035682426405)	(60.0, 78.72970561998216)	(65.0, 82.00535236396075)	(70.0, 85.04192685102586)	(75.0, 87.92149866190901)	(80.0, 90.57983942908118)	(85.0, 93.15967885816235)	(90.0, 95.48260481712757)	(95.0, 97.75557537912579)	(100.0, 100.0)
P50	(5.0, 24.661944623309722)	(10.0, 35.99295481231771)	(15.0, 44.134691867732286)	(20.0, 50.579523502897615)	(25.0, 56.00166660353774)	(30.0, 60.556418317487974)	(35.0, 64.92367713344191)	(40.0, 68.68679216696337)	(45.0, 72.28324684671036)	(50.0, 75.44411196545586)	(55.0, 78.47430021590091)	(60.0, 81.41926442180221)	(65.0, 84.05931593500246)	(70.0, 86.69179197757661)	(75.0, 89.18790954888073)	(80.0, 91.5192606340669)	(85.0, 93.8600810575357)	(90.0, 95.97363736222113)	(95.0, 98.07772432862392)	(100.0, 100.0)
P51	(5.0, 27.302993371183973)	(10.0, 38.30593620879284)	(15.0, 46.05986742367944)	(20.0, 52.26360690823697)	(25.0, 57.50720846586011)	(30.0, 62.132516869296396)	(35.0, 66.19303825688891)	(40.0, 69.76605927291104)	(45.0, 73.24693082845337)	(50.0, 76.31758865669867)	(55.0, 79.29758330608483)	(60.0, 82.09179275289081)	(65.0, 84.79385273921703)	(70.0, 87.14069141820993)	(75.0, 89.50685175827115)	(80.0, 91.85814928212598)	(85.0, 94.03555185636574)	(90.0, 96.0687851134033)	(95.0, 98.05297107695966)	(100.0, 100.0)
P52	(5.0, 25.781425098701792)	(10.0, 37.43427064117373)	(15.0, 45.55454028239919)	(20.0, 51.85249038842819)	(25.0, 57.19704153233454)	(30.0, 61.758874540972016)	(35.0, 65.87245487302381)	(40.0, 69.60502042997776)	(45.0, 73.16690516007793)	(50.0, 76.37191179766563)	(55.0, 79.37175663327758)	(60.0, 82.27505473854801)	(65.0, 84.90078099408652)	(70.0, 87.32996569142975)	(75.0, 89.68501629226074)	(80.0, 91.93145182145751)	(85.0, 94.05203179145906)	(90.0, 96.05882454355809)	(95.0, 98.07768563694981)	(100.0, 100.0)
PNKD	(5.0, 25.86432788199208)	(10.0, 36.92063443130848)	(15.0, 44.82636373445135)	(20.0, 51.22154230312746)	(25.0, 56.525425035066355)	(30.0, 61.157266827997596)	(35.0, 65.45771228632643)	(40.0, 69.19247190838047)	(45.0, 72.67136273255545)	(50.0, 75.86972270604375)	(55.0, 78.97097584660203)	(60.0, 81.87493256469935)	(65.0, 84.54768253772524)	(70.0, 86.97689473927586)	(75.0, 89.42768623703316)	(80.0, 91.74129506604805)	(85.0, 93.88535228201057)	(90.0, 95.99549917536261)	(95.0, 98.0239530187894)	(100.0, 100.0)
PNKIT	(5.0, 26.937452901281084)	(10.0, 37.85380557648832)	(15.0, 45.373021853805575)	(20.0, 51.4679728711379)	(25.0, 56.6887716654107)	(30.0, 61.276563677467976)	(35.0, 65.3715146948003)	(40.0, 69.2147701582517)	(45.0, 72.75056518462698)	(50.0, 75.95026375282592)	(55.0, 78.97362471740769)	(60.0, 81.81160512434062)	(65.0, 84.56066314996232)	(70.0, 87.22381311228335)	(75.0, 89.62923888470233)	(80.0, 91.8733986435569)	(85.0, 94.10700828937453)	(90.0, 96.23059532780708)	(95.0, 98.15373021853806)	(100.0, 100.0)
PNKV	(5.0, 26.113235675395384)	(10.0, 37.453007518796994)	(15.0, 45.409320715582055)	(20.0, 51.80840031112263)	(25.0, 56.979193673839774)	(30.0, 61.650894477573246)	(35.0, 65.74248120300751)	(40.0, 69.5602151931553)	(45.0, 72.96960072595282)	(50.0, 76.1148561057817)	(55.0, 79.11913404200156)	(60.0, 81.88682914182007)	(65.0, 84.44548872180451)	(70.0, 87.05276121337828)	(75.0, 89.44451646357273)	(80.0, 91.76659320715582)	(85.0, 94.03357531760436)	(90.0, 96.07045631319679)	(95.0, 98.04089966295048)	(100.0, 100.0)
