Sample	-247.5	-242.5	-237.5	-232.5	-227.5	-222.5	-217.5	-212.5	-207.5	-202.5	-197.5	-192.5	-187.5	-182.5	-177.5	-172.5	-167.5	-162.5	-157.5	-152.5	-147.5	-142.5	-137.5	-132.5	-127.5	-122.5	-117.5	-112.5	-107.5	-102.5	-97.5	-92.5	-87.5	-82.5	-77.5	-72.5	-67.5	-62.5	-57.5	-52.5	-47.5	-42.5	-37.5	-32.5	-27.5	-22.5	-17.5	-12.5	-7.5	-2.5	2.5	7.5	12.5	17.5	22.5	27.5	32.5	37.5	42.5	47.5	52.5	57.5	62.5	67.5	72.5	77.5	82.5	87.5	92.5	97.5	102.5	107.5	112.5	117.5	122.5	127.5	132.5	137.5	142.5	147.5	152.5	157.5	162.5	167.5	172.5	177.5	182.5	187.5	192.5	197.5	202.5	207.5	212.5	217.5	222.5	227.5	232.5	237.5	242.5	247.5
IT1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1417.0	15590.0	16040.0	16438.0	16817.0	17362.0	17643.0	18529.0	18875.0	19565.0	20307.0	21137.0	22146.0	22911.0	24030.0	25065.0	26275.0	28102.0	28925.0	30024.0	30987.0	31733.0	32013.0	32784.0	32822.0	32471.0	31827.0	31033.0	30226.0	28970.0	28583.0	26058.0	24000.0	21860.0	19762.0	18360.0	16181.0	14262.0	13001.0	11381.0	10176.0	8800.0	7582.0	6643.0	5956.0	4995.0	4482.0	3743.0	3381.0	2899.0	2507.0	2252.0	1880.0	1655.0	1493.0	1275.0	1204.0	1046.0	871.0	796.0	699.0	616.0	522.0	521.0	426.0	410.0	369.0	340.0	292.0	270.0	231.0	228.0	204.0	157.0	176.0	143.0	143.0	132.0	112.0	108.0	93.0
P1G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1084.0	11781.0	12515.0	13088.0	13375.0	14085.0	14576.0	15528.0	16212.0	17547.0	18688.0	20107.0	21656.0	22845.0	25047.0	26719.0	28704.0	30228.0	31993.0	33085.0	34057.0	35299.0	36091.0	35895.0	35701.0	35297.0	34352.0	33157.0	31807.0	30140.0	29670.0	26702.0	24207.0	22406.0	19939.0	17598.0	15794.0	14184.0	12461.0	10939.0	9597.0	8258.0	7208.0	6341.0	5502.0	4739.0	4175.0	3524.0	2949.0	2598.0	2185.0	1888.0	1699.0	1461.0	1251.0	1060.0	932.0	851.0	706.0	609.0	532.0	460.0	432.0	376.0	298.0	293.0	256.0	239.0	212.0	196.0	186.0	186.0	148.0	147.0	117.0	112.0	100.0	90.0	86.0	72.0	62.0
P2G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	935.0	10560.0	11111.0	11389.0	11959.0	12492.0	13117.0	14181.0	14901.0	16058.0	17291.0	18533.0	20470.0	21762.0	23738.0	25493.0	27539.0	29202.0	31381.0	32555.0	34144.0	35425.0	35944.0	36233.0	36460.0	36095.0	35397.0	34212.0	32920.0	31433.0	30704.0	27959.0	25898.0	23347.0	21035.0	18888.0	17193.0	15112.0	13185.0	11938.0	10312.0	8948.0	7876.0	6834.0	5837.0	5146.0	4508.0	3831.0	3173.0	2774.0	2458.0	2172.0	1809.0	1576.0	1370.0	1232.0	1033.0	889.0	758.0	711.0	549.0	491.0	462.0	388.0	360.0	325.0	259.0	252.0	231.0	219.0	179.0	177.0	166.0	145.0	124.0	109.0	76.0	99.0	91.0	94.0	68.0
P31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1107.0	11666.0	12413.0	12684.0	13270.0	13502.0	14088.0	15372.0	16336.0	17395.0	18619.0	19749.0	20926.0	22537.0	24137.0	25834.0	27781.0	29354.0	30682.0	32139.0	33567.0	34337.0	35061.0	35441.0	35308.0	34924.0	34359.0	33419.0	31916.0	30391.0	30587.0	27463.0	24868.0	22691.0	20706.0	18746.0	16632.0	14997.0	13165.0	11643.0	10323.0	8831.0	7691.0	6619.0	5707.0	4851.0	4316.0	3708.0	3097.0	2808.0	2313.0	1959.0	1666.0	1470.0	1277.0	1087.0	926.0	820.0	692.0	636.0	605.0	513.0	478.0	418.0	365.0	310.0	316.0	289.0	241.0	219.0	185.0	166.0	164.0	153.0	117.0	116.0	116.0	92.0	82.0	61.0	68.0
P32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	848.0	9612.0	10212.0	10619.0	11050.0	11325.0	11966.0	12525.0	13783.0	14786.0	16013.0	17183.0	18466.0	20209.0	21972.0	23861.0	25833.0	27932.0	29883.0	31415.0	33044.0	34370.0	35253.0	36091.0	36515.0	36069.0	36191.0	35034.0	33644.0	32491.0	32282.0	29669.0	26912.0	25156.0	22995.0	20539.0	18845.0	16533.0	14754.0	13070.0	11495.0	9953.0	8804.0	7683.0	6718.0	5754.0	4995.0	4350.0	3788.0	3266.0	2891.0	2364.0	2070.0	1755.0	1479.0	1313.0	1094.0	950.0	852.0	676.0	654.0	575.0	495.0	496.0	396.0	346.0	319.0	305.0	270.0	257.0	212.0	187.0	179.0	160.0	130.0	137.0	94.0	114.0	109.0	101.0	76.0
P33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1173.0	12954.0	13434.0	13710.0	14210.0	14566.0	15274.0	15783.0	16900.0	17582.0	18710.0	19577.0	21063.0	22259.0	23736.0	25255.0	26898.0	28272.0	29902.0	31009.0	32530.0	33334.0	34022.0	33699.0	34192.0	34080.0	33271.0	32261.0	31037.0	29905.0	29862.0	26971.0	25030.0	23137.0	21073.0	19194.0	16916.0	15320.0	13642.0	12100.0	10625.0	9389.0	8159.0	7274.0	6324.0	5629.0	4771.0	4167.0	3668.0	3208.0	2637.0	2351.0	2071.0	1771.0	1520.0	1395.0	1168.0	946.0	908.0	695.0	676.0	583.0	532.0	443.0	349.0	370.0	308.0	273.0	236.0	205.0	191.0	193.0	133.0	138.0	125.0	107.0	97.0	67.0	82.0	65.0	55.0
P34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	770.0	8252.0	8887.0	9077.0	9385.0	9990.0	10653.0	11336.0	12243.0	13458.0	14790.0	16091.0	17821.0	19538.0	21776.0	23364.0	25692.0	27843.0	29893.0	31822.0	33324.0	34561.0	35793.0	36839.0	37546.0	37128.0	36810.0	36010.0	35005.0	33437.0	33283.0	30332.0	28272.0	25672.0	23438.0	21337.0	18875.0	17079.0	15279.0	13339.0	11640.0	10301.0	9035.0	7997.0	6803.0	5911.0	5163.0	4438.0	3771.0	3293.0	2866.0	2366.0	2100.0	1860.0	1577.0	1364.0	1214.0	1077.0	927.0	875.0	696.0	618.0	523.0	517.0	426.0	372.0	382.0	321.0	282.0	247.0	214.0	198.0	189.0	153.0	170.0	124.0	113.0	97.0	92.0	95.0	97.0
P35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	875.0	9685.0	10271.0	10598.0	11165.0	11535.0	12536.0	13312.0	14432.0	15586.0	16858.0	18450.0	20092.0	22037.0	23700.0	25809.0	27339.0	29447.0	31113.0	33261.0	33743.0	34862.0	35710.0	36401.0	36229.0	35918.0	34783.0	34030.0	32197.0	31353.0	30224.0	27790.0	25244.0	23283.0	21309.0	19175.0	17082.0	15476.0	13661.0	12280.0	10806.0	9408.0	8410.0	7377.0	6433.0	5628.0	4947.0	4271.0	3673.0	3237.0	2755.0	2415.0	2060.0	1766.0	1619.0	1360.0	1215.0	1051.0	883.0	780.0	715.0	677.0	539.0	513.0	468.0	417.0	376.0	327.0	343.0	270.0	225.0	219.0	227.0	188.0	161.0	157.0	144.0	124.0	110.0	104.0	84.0
P36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1062.0	11387.0	12128.0	12520.0	13033.0	13703.0	14594.0	15540.0	16782.0	17914.0	19645.0	21042.0	22771.0	24756.0	26403.0	28488.0	30187.0	32099.0	33886.0	34624.0	36124.0	36701.0	36779.0	36408.0	35959.0	35331.0	33977.0	32772.0	30773.0	29317.0	28264.0	25475.0	22658.0	20852.0	18769.0	17051.0	14942.0	13228.0	11643.0	10080.0	8844.0	7726.0	6847.0	5949.0	5234.0	4501.0	3839.0	3390.0	2886.0	2440.0	2001.0	1760.0	1588.0	1332.0	1164.0	981.0	843.0	755.0	692.0	598.0	531.0	495.0	429.0	335.0	309.0	281.0	265.0	231.0	232.0	193.0	154.0	180.0	144.0	125.0	143.0	119.0	94.0	106.0	83.0	62.0	78.0
