Sample	Sense	Antisense	Unstranded
IT1G	12.4	51.6	36.1
P1G	22.9	69.6	7.5
P2G	22.2	69.9	7.9
P31	19.5	77.2	3.3
P32	21.5	73.3	5.2
P33	22.0	71.6	6.4
P34	20.6	76.5	2.9
P35	21.3	76.0	2.7
P36	22.8	74.2	3.0
P41	18.4	78.4	3.2
P42	20.3	76.4	3.3
P43	21.1	77.3	1.6
P44	20.8	77.1	2.1
P45	21.2	75.9	2.9
P46	21.1	76.3	2.6
P47	19.4	79.0	1.6
P48	20.4	77.3	2.2
P49	19.0	77.1	3.9
P50	20.6	75.4	4.1
P51	22.3	71.7	6.0
P52	21.1	74.8	4.0
PNKD	24.2	69.9	5.9
PNKIT	9.3	45.3	45.3
PNKV	21.3	73.6	5.2
