contrast	short_label	direction	display_label	gene_id	baseMean	log2FoldChange	padj	best_description	log2FoldChange_fmt	padj_fmt
P_OL_vs_P_BL	Pseudoalbino: ocular clara vs ciega clara	down	col5a2b / ENSSMAG00000011709	ENSSMAG00000011709	246.088160131752	-5.54825165678565	1.39186198474651e-18	collagen, type V, alpha 2b [Source:ZFIN;Acc:ZDB-GENE-110406-2]	-5.55	1.39e-18
P_OL_vs_P_BL	Pseudoalbino: ocular clara vs ciega clara	down	col10a1b / ENSSMAG00000018381	ENSSMAG00000018381	204.765284419468	-5.3531018200728	4.94450751975751e-13	Direct local gene symbol: col10a1b	-5.35	4.94e-13
P_OL_vs_P_BL	Pseudoalbino: ocular clara vs ciega clara	up	crabp1a / ENSSMAG00000005604	ENSSMAG00000005604	112.232381620842	4.2123213769531	1.28857504671903e-09	Direct local gene symbol: crabp1a	4.21	1.29e-09
P_OL_vs_P_BL	Pseudoalbino: ocular clara vs ciega clara	down	spp1 / ENSSMAG00000013393	ENSSMAG00000013393	64.0395870236757	-4.72978898580985	2.48293953843679e-08	Direct local gene symbol: spp1	-4.73	2.48e-08
P_OL_vs_P_BL	Pseudoalbino: ocular clara vs ciega clara	up	dgat2 / ENSSMAG00000001438	ENSSMAG00000001438	444.10855925593	4.06610240016603	1.85009401058138e-07	Direct local gene symbol: dgat2	4.07	1.85e-07
P_OL_vs_P_BL	Pseudoalbino: ocular clara vs ciega clara	down	notum2 / ENSSMAG00000007311	ENSSMAG00000007311	141.591621294715	-3.90624846520168	1.50361524035453e-06	Direct local gene symbol: notum2	-3.91	1.50e-06
P_OL_vs_P_BL	Pseudoalbino: ocular clara vs ciega clara	down	mpx / ENSSMAG00000020424	ENSSMAG00000020424	341.636414411957	-3.63014094260616	5.53617382227124e-06	Direct local gene symbol: mpx	-3.63	5.54e-06
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	mybpc2a / ENSSMAG00000008209	ENSSMAG00000008209	777.030371171096	3.35893604662293	9.70181313089822e-05	Direct local gene symbol: mybpc2a	3.36	9.70e-05
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	atp2a1l / ENSSMAG00000016974	ENSSMAG00000016974	40220.3681881405	3.05825010508675	0.000829162991740385	Direct local gene symbol: atp2a1l	3.06	8.29e-04
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	casq1a / ENSSMAG00000013960	ENSSMAG00000013960	10375.5178852501	2.90641867047774	0.000829162991740385	Direct local gene symbol: casq1a	2.91	8.29e-04
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	gatm / ENSSMAG00000014093	ENSSMAG00000014093	1126.29030150319	2.91359730360893	0.00126021260813385	Direct local gene symbol: gatm	2.91	1.26e-03
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	prr33 / ENSSMAG00000006257	ENSSMAG00000006257	2224.5189579312	2.5470570582265	0.00410672751931186	proline rich 33 [Source:ZFIN;Acc:ZDB-GENE-030131-5326]	2.55	4.11e-03
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	TPM1 / ENSSMAG00000016387	ENSSMAG00000016387	68804.2100399937	2.58872830405515	0.00692160792983828	Direct local gene symbol: TPM1	2.59	6.92e-03
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	myom2a / ENSSMAG00000021113	ENSSMAG00000021113	4357.22930659667	2.55535755866618	0.0126044707238839	Direct local gene symbol: myom2a	2.56	1.26e-02
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	myoz1b / ENSSMAG00000005085	ENSSMAG00000005085	4458.99015417276	2.30491426122698	0.0126044707238839	Direct local gene symbol: myoz1b	2.30	1.26e-02
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	crabp1a / ENSSMAG00000005604	ENSSMAG00000005604	66.671967651436	6.41056328906298	2.01413498094786e-07	Direct local gene symbol: crabp1a	6.41	2.01e-07
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	dgat2 / ENSSMAG00000001438	ENSSMAG00000001438	237.922629736128	6.39211164529919	7.27861029856329e-06	Direct local gene symbol: dgat2	6.39	7.28e-06
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	ENSSMAG00000031399	ENSSMAG00000031399	16.7709162457445	8.65984608783111	0.00189685419260769	No functional description available from local Salmon/GTF annotation	8.66	1.90e-03
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	ACVR1C / ENSSMAG00000011491	ENSSMAG00000011491	14.3741641584772	7.99866390294006	0.0144748459311332	Direct local gene symbol: ACVR1C	8.00	1.45e-02
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	rab15 / ENSSMAG00000019773	ENSSMAG00000019773	96.135366119636	3.4883054591367	0.0144748459311332	Direct local gene symbol: rab15	3.49	1.45e-02
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	plin2 / ENSSMAG00000011239	ENSSMAG00000011239	14.7661880276104	5.5188018295643	0.0254347087232491	Ensembl REST display name: plin2	5.52	2.54e-02
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_negative	sdk2a / ENSSMAG00000000976	ENSSMAG00000000976	30.9204305384617	-4.68263689194285	0.0476384551324705	sidekick cell adhesion molecule 2a [Source:ZFIN;Acc:ZDB-GENE-091008-1]	-4.68	4.76e-02
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_negative	htr2b / ENSSMAG00000001733	ENSSMAG00000001733	24.1501253804616	-3.88929282756193	0.0476384551324705	Direct local gene symbol: htr2b	-3.89	4.76e-02
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000036716	ENSSMAG00000036716	5786.80231125875	-3.12118651913341	1.97554895619536e-06	No functional description available from local Salmon/GTF annotation	-3.12	1.98e-06
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000015984	ENSSMAG00000015984	1254.0713994376	-3.98624650807196	1.75984342181419e-05	No functional description available from local Salmon/GTF annotation	-3.99	1.76e-05
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000036554	ENSSMAG00000036554	2206.26128794792	-4.49561978261023	0.000295657466128707	No functional description available from local Salmon/GTF annotation	-4.50	2.96e-04
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000031332	ENSSMAG00000031332	408.471077597456	-4.4100567737171	0.000295657466128707	No functional description available from local Salmon/GTF annotation	-4.41	2.96e-04
