method	contrast	direction	ontology	GO_ID	Description	pvalue	p.adjust	qvalue	Count	signed_effect
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0051371	MF: muscle alpha-actinin binding	3.072966116025657e-4	0.014750237356923154	0.012615334581579013	13	1.6602727987499515
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0031430	CC: M band	0.001514675376492395	0.019690779894401135	0.015943951331498896	12	1.6163505011627346
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0008307	MF: structural constituent of muscle	9.67067180026104e-4	0.023209612320626495	0.019850326326851606	15	1.642323067101624
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0046933	MF: proton-transporting ATP synthase activity, rotational mechanism	0.002561661873061859	0.024591953981393848	0.021032592220928948	10	-1.8525830496996802
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0016887	MF: ATPase activity	0.0025449788939279562	0.024591953981393848	0.021032592220928948	10	1.5697632408445976
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0005524	MF: ATP binding	0.0023380894931969067	0.024591953981393848	0.021032592220928948	81	1.4451245156277057
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0042776	BP: mitochondrial ATP synthesis coupled proton transport	0.004645713502962826	0.025730105554871034	0.018808556692157193	10	-1.7775537403397823
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0005975	BP: carbohydrate metabolic process	0.005377015031181057	0.02669202513822211	0.019511714282326103	12	1.5758273532634393
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0060047	BP: heart contraction	0.005560838570462939	0.02669202513822211	0.019511714282326103	18	1.5253086440437271
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0030241	BP: skeletal muscle myosin thick filament assembly	0.00661141930674694	0.02824575472275158	0.020647481522479222	13	1.570903287060978
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0030239	BP: myofibril assembly	0.006669136531760789	0.02824575472275158	0.020647481522479222	20	1.5380260118487508
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005576	CC: extracellular region	0.006298355299097899	0.06823218240689391	0.055248730693841216	20	-1.7409195626155423
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0015629	CC: actin cytoskeleton	0.007770351118629807	0.07215326038727679	0.05842369262127675	36	1.4831067113790404
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0001756	BP: somitogenesis	0.02296423779826036	0.09148495469479914	0.06687496688216313	10	1.494681169464676
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0071688	BP: striated muscle myosin thick filament assembly	0.024141863044460886	0.09148495469479914	0.06687496688216313	10	1.488437508466997
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0003779	MF: actin binding	0.015039454236517367	0.10312768619326194	0.08820131056002667	40	1.4430302646458855
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0051015	MF: actin filament binding	0.014991462581324813	0.10312768619326194	0.08820131056002667	54	1.4286647656265004
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0007507	BP: heart development	0.03282275711159737	0.11816192560175054	0.08637567660946677	28	1.4383122773370316
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0017022	MF: myosin binding	0.023417922795775436	0.12489558824413566	0.10681859520880023	10	1.4523834269946576
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0005509	MF: calcium ion binding	0.02286233210535742	0.12489558824413566	0.10681859520880023	79	1.344414608331179
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0060048	BP: cardiac muscle contraction	0.03767123287671233	0.12915851272015655	0.09441411748549455	21	1.4351453868633133
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0010628	BP: positive regulation of gene expression	0.04659498207885305	0.1524926686217009	0.1114712489924714	15	1.42938775865821
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005739	CC: mitochondrion	0.021190586769645903	0.1566592933494732	0.12684963024248844	37	-1.580518706225861
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0001725	CC: stress fiber	0.02204336610710205	0.1566592933494732	0.12684963024248844	11	1.4811638726440204
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0036379	CC: myofilament	0.025434576133438223	0.1566592933494732	0.12684963024248844	11	1.4710291517291372
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:1990904	CC: ribonucleoprotein complex	0.02651157272068008	0.1566592933494732	0.12684963024248844	20	1.4680873176883051
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0030016	CC: myofibril	0.032593821748892304	0.1765498678065	0.14295535854777328	11	1.4487925860526583
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005884	CC: actin filament	0.0403143519382014	0.18274991367044258	0.14797563859954865	17	1.4579976073980536
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0030027	CC: lamellipodium	0.042173057000871365	0.18274991367044258	0.14797563859954865	15	1.4300495883128017
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005789	CC: endoplasmic reticulum membrane	0.03977272727272727	0.18274991367044258	0.14797563859954865	22	1.4137859258723238
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0051726	BP: regulation of cell cycle	0.06919060052219321	0.21659666250425702	0.15833089364346273	10	1.3809372017043884
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0031101	BP: fin regeneration	0.07529588901394044	0.2258876670418213	0.16512256362706237	18	-1.3453993851285466
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0007275	BP: multicellular organism development	0.08269720101781171	0.22900763358778625	0.16740324092674436	11	1.3614181925010593
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0003009	BP: skeletal muscle contraction	0.08146399055489964	0.22900763358778625	0.16740324092674436	16	1.358489358219488
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0042802	MF: identical protein binding	0.052415210688591986	0.25159301130524153	0.2151782333531671	58	1.308651027003733
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0005198	MF: structural molecule activity	0.06569316040081938	0.2866610635672118	0.2451706464719575	16	-1.4162286567692481
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0016567	BP: protein ubiquitination	0.10880195599022005	0.29013854930725347	0.21208958282693968	14	1.3244764848242538
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0043066	BP: negative regulation of apoptotic process	0.11304347826086956	0.2906832298136646	0.21248774109186006	13	1.315676662559803
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0016301	MF: kinase activity	0.07329842931937172	0.2931937172774869	0.2507577845136401	10	1.3534664228434603
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0014069	CC: postsynaptic density	0.07692307692307693	0.3125	0.25303643724696356	19	1.3605181917839642
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0042383	CC: sarcolemma	0.08902439024390243	0.33867563645956994	0.2742312845826478	13	1.3360861860831865
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0098978	CC: glutamatergic synapse	0.09899749373433583	0.33867563645956994	0.2742312845826478	11	1.327339460846955
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005737	CC: cytoplasm	0.097	0.33867563645956994	0.2742312845826478	125	1.1996060852632233
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0045892	BP: negative regulation of transcription, DNA-templated	0.138676844783715	0.34430113187680966	0.2516821139450363	11	1.3028578724365236
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0006413	BP: translational initiation	0.15048543689320387	0.3611650485436893	0.2640095384091296	12	-1.3272022903019705
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0015935	CC: small ribosomal subunit	0.11261261261261261	0.3625053625053625	0.29352660931608304	10	-1.3880467738442783
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005759	CC: mitochondrial matrix	0.11711711711711711	0.3625053625053625	0.29352660931608304	10	-1.3700820196205994
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0043009	BP: chordate embryonic development	0.15688487584650113	0.36437777615961553	0.2663580235084909	22	1.2673487952040141
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005623	CC: cell	0.12571428571428572	0.37142857142857144	0.3007518796992482	21	1.2910992456817465
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0016459	CC: myosin complex	0.13349514563106796	0.3772688898269312	0.30548088245095645	15	1.2791998214241345
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0007626	BP: locomotory behavior	0.17336683417085427	0.3900753768844221	0.2851428193599577	12	1.2701175475351734
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005829	CC: cytosol	0.15	0.40625	0.32894736842105265	133	1.1523138769567298
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0044297	CC: cell body	0.16440049443757726	0.4110012360939431	0.33279452315299046	12	1.270255059646482
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005861	CC: troponin complex	0.15853658536585366	0.4110012360939431	0.33279452315299046	13	1.2631708495986353
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0005200	MF: structural constituent of cytoskeleton	0.13445378151260504	0.4120669850674083	0.35242571091291497	10	-1.3459767974414985
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0016787	MF: hydrolase activity	0.12237330037082818	0.4120669850674083	0.35242571091291497	13	1.3021635874020185
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0000287	MF: magnesium ion binding	0.1407942238267148	0.4120669850674083	0.35242571091291497	14	1.2914152509531251
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0005525	MF: GTP binding	0.125	0.4120669850674083	0.35242571091291497	30	1.2742802770220352
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0046872	MF: metal ion binding	0.1459403905447071	0.4120669850674083	0.35242571091291497	54	1.2218588797282168
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0003824	MF: catalytic activity	0.17703349282296652	0.4472425081843364	0.3825100398944983	12	-1.2819473691407781
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0016491	MF: oxidoreductase activity	0.17177914110429449	0.4472425081843364	0.3825100398944983	15	-1.2657291415328065
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0048471	CC: perinuclear region of cytoplasm	0.1945054945054945	0.451530612244898	0.3656118317772453	28	1.2145232238647101
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0031012	CC: extracellular matrix	0.193745920560867	0.451530612244898	0.3656118317772453	27	-1.1433175518828633
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0045893	BP: positive regulation of transcription, DNA-templated	0.21501272264631044	0.46911866759195003	0.34292300262569453	11	1.2399156987797657
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0001666	BP: response to hypoxia	0.23258559622195984	0.47022666154437187	0.3437329397254181	16	1.2102438866418235
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0007420	BP: brain development	0.23730814639905548	0.47022666154437187	0.3437329397254181	16	1.204861324682112
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0000027	BP: ribosomal large subunit assembly	0.24623115577889448	0.47022666154437187	0.3437329397254181	12	1.203690476417883
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0030198	BP: extracellular matrix organization	0.23893805309734514	0.47022666154437187	0.3437329397254181	24	-1.1509197372997448
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0030199	BP: collagen fibril organization	0.24817518248175183	0.47022666154437187	0.3437329397254181	20	-1.1214597547487741
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0016020	CC: membrane	0.2100558659217877	0.47081487189366206	0.38122661691794507	25	1.212330440276373
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0008380	BP: RNA splicing	0.25718015665796345	0.4747941353685479	0.34707173638051747	10	1.2031592949232686
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0045944	BP: positive regulation of transcription by RNA polymerase II	0.2773722627737226	0.4992700729927007	0.36496350364963503	20	-1.0879811555411096
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0019843	MF: rRNA binding	0.21428571428571427	0.5142857142857142	0.4398496240601503	10	-1.2334013673339868
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0030335	BP: positive regulation of cell migration	0.3053435114503817	0.5234460196292258	0.38263597926112997	11	1.155839220724079
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0000381	BP: regulation of alternative mRNA splicing, via spliceosome	0.3015075376884422	0.5234460196292258	0.38263597926112997	12	1.1555242969679984
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0016192	BP: vesicle-mediated transport	0.3256997455470738	0.5453577134741702	0.3986532993232238	11	1.136727593532377
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0006364	BP: rRNA processing	0.33980582524271846	0.5560458958517212	0.406466298137223	12	-1.1095641035933683
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005912	CC: adherens junction	0.2656641604010025	0.5756056808688387	0.4660774743877237	11	1.172615622606224
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0005201	MF: extracellular matrix structural constituent	0.2534246575342466	0.5792563600782779	0.4954166237511588	18	-1.1378574002884334
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0003774	MF: motor activity	0.2683544303797468	0.585500575373993	0.5007570710435466	11	1.1751373525422633
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0031625	MF: ubiquitin protein ligase binding	0.2824175824175824	0.589393215480172	0.504086302713305	24	1.1668061995419368
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0001501	BP: skeletal system development	0.3739130434782609	0.5982608695652174	0.4373251970505975	13	1.090302872884242
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005856	CC: cytoskeleton	0.2978021978021978	0.6159274193548387	0.4987266553480476	28	1.135199207465025
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0042788	CC: polysomal ribosome	0.3032258064516129	0.6159274193548387	0.4987266553480476	17	-1.0919697464564282
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005730	CC: nucleolus	0.31683168316831684	0.624062406240624	0.5053136892636633	26	-1.086177374098629
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005581	CC: collagen trimer	0.3524590163934426	0.6738187078109933	0.5456021925595088	22	-1.0606016280725663
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0007155	BP: cell adhesion	0.4387755102040816	0.686779059449867	0.502031476206043	27	-1.0006729198460702
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0016607	CC: nuclear speck	0.371900826446281	0.690542210937761	0.5591434906378633	17	1.098122521376277
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0045202	CC: synapse	0.3872053872053872	0.690542210937761	0.5591434906378633	24	1.08599453992215
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005844	CC: polysome	0.3930778739184178	0.690542210937761	0.5591434906378633	12	1.0836821910697678
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005813	CC: centrosome	0.41450777202072536	0.7090264521407145	0.5741104875633316	12	-1.0399455536054094
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005886	CC: plasma membrane	0.46905537459283386	0.7134146341463414	0.5776636713735559	33	1.0310472133106805
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0032991	CC: protein-containing complex	0.47073170731707314	0.7134146341463414	0.5776636713735559	13	1.0286870429693142
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0016021	CC: integral component of membrane	0.444	0.7134146341463414	0.5776636713735559	129	1.0236413902622965
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0070062	CC: extracellular exosome	0.48	0.7134146341463414	0.5776636713735559	21	1.0178719362520636
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005925	CC: focal adhesion	0.47761194029850745	0.7134146341463414	0.5776636713735559	19	1.0148726419807494
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005852	CC: eukaryotic translation initiation factor 3 complex	0.49390243902439024	0.7134146341463414	0.5776636713735559	13	1.0145066925291646
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0016282	CC: eukaryotic 43S preinitiation complex	0.49390243902439024	0.7134146341463414	0.5776636713735559	13	1.0145066925291646
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0001732	BP: formation of cytoplasmic translation initiation complex	0.48198757763975153	0.7229813664596273	0.5284951509207801	13	1.02002730241105
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0003429	BP: growth plate cartilage chondrocyte morphogenesis	0.48148148148148145	0.7229813664596273	0.5284951509207801	11	-0.9768838507850591
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0005102	MF: signaling receptor binding	0.4	0.7384615384615385	0.6315789473684211	11	1.0744762491832798
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0005518	MF: collagen binding	0.37423312883435583	0.7384615384615385	0.6315789473684211	15	-1.0460238976918137
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0008201	MF: heparin binding	0.39473684210526316	0.7384615384615385	0.6315789473684211	21	-1.0258291503067074
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0030154	BP: cell differentiation	0.5039164490861618	0.7404486598817073	0.5412636402644059	10	1.0016370022305092
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:1901998	BP: toxin transport	0.5182767624020888	0.7463185378590078	0.5455544867390407	10	0.9881738624699262
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0010494	CC: cytoplasmic stress granule	0.5333333333333333	0.7536231884057971	0.6102212051868803	10	0.9980312051268809
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0000226	BP: microtubule cytoskeleton organization	0.5339195979899497	0.7537688442211055	0.5510006171206911	12	0.9869672274254303
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0050821	BP: protein stabilization	0.5773081201334817	0.7557488118111032	0.5524479618502216	26	0.9507709451757503
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0043161	BP: proteasome-mediated ubiquitin-dependent protein catabolic process	0.5691906005221932	0.7557488118111032	0.5524479618502216	10	0.9504718111111454
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0000122	BP: negative regulation of transcription by RNA polymerase II	0.5711060948081265	0.7557488118111032	0.5524479618502216	22	0.9458579761244121
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0002181	BP: cytoplasmic translation	0.5508474576271186	0.7557488118111032	0.5524479618502216	23	-0.9383801580551331
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0050660	MF: flavin adenine dinucleotide binding	0.43324607329842935	0.7616636528028933	0.6514228609498429	10	1.0601221747911704
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0000978	MF: RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.4443037974683544	0.7616636528028933	0.6514228609498429	11	1.044334370807596
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0008270	MF: zinc ion binding	0.4809575625680087	0.769532100108814	0.658152454040433	27	1.0234517738451456
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0042803	MF: protein homodimerization activity	0.47392290249433106	0.769532100108814	0.658152454040433	20	1.0205530986734406
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0051082	MF: unfolded protein binding	0.5170068027210885	0.7755102040816326	0.6632653061224489	20	0.987079596345045
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0003743	MF: translation initiation factor activity	0.5089285714285714	0.7755102040816326	0.6632653061224489	22	-0.9432260480905339
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005874	CC: microtubule	0.5690672963400236	0.787007963023437	0.6372534113550097	17	0.9590812525060433
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0044325	MF: ion channel binding	0.5848101265822785	0.7955182072829131	0.6803774141235441	11	0.9526280887376325
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0003730	MF: mRNA 3'-UTR binding	0.5752105896510229	0.7955182072829131	0.6803774141235441	14	0.9463277326839983
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0003729	MF: mRNA binding	0.5868596881959911	0.7955182072829131	0.6803774141235441	23	0.9454089431676732
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0030246	MF: carbohydrate binding	0.5966386554621849	0.7955182072829131	0.6803774141235441	10	-0.882497420048238
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0055010	BP: ventricular cardiac muscle tissue morphogenesis	0.6582914572864321	0.8296655692254375	0.6064806792583608	12	0.8832773148339087
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0030903	BP: notochord development	0.6658291457286433	0.8296655692254375	0.6064806792583608	12	0.8751928376864021
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0016525	BP: negative regulation of angiogenesis	0.6683417085427136	0.8296655692254375	0.6064806792583608	12	0.8717018005096449
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0046982	MF: protein heterodimerization activity	0.6481042654028436	0.8407839118739593	0.7190915035764125	17	0.8948559573449747
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0001503	BP: ossification	0.6908396946564885	0.8430586104282572	0.6162709140557435	11	0.8581209803082654
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0003723	MF: RNA binding	0.7841726618705036	0.8715286361763493	0.7453863335718778	58	0.8514377805233722
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0003677	MF: DNA binding	0.7033096926713948	0.8715286361763493	0.7453863335718778	16	0.8505409222993172
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0019901	MF: protein kinase binding	0.7371495327102804	0.8715286361763493	0.7453863335718778	18	0.8311620457193407
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0043022	MF: ribosome binding	0.7670886075949367	0.8715286361763493	0.7453863335718778	11	0.8185776955722803
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0004386	MF: helicase activity	0.7142857142857143	0.8715286361763493	0.7453863335718778	10	-0.8012902464098963
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0003676	MF: nucleic acid binding	0.7748571428571429	0.8715286361763493	0.7453863335718778	19	0.7858627514866061
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0030170	MF: pyridoxal phosphate binding	0.8022249690976514	0.8715286361763493	0.7453863335718778	13	0.7836962261976923
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0044877	MF: protein-containing complex binding	0.8170580964153276	0.8715286361763493	0.7453863335718778	13	0.7687790536682337
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005634	CC: nucleus	0.6441025641025641	0.8722222222222222	0.7062528115159695	65	0.9340492468761089
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005615	CC: extracellular space	0.6670051450081358	0.8848027433781392	0.71643946832238	81	-0.8572070530531287
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0007411	BP: axon guidance	0.7506112469437652	0.8859673734418213	0.6476369688902203	14	0.810936318642155
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0015031	BP: protein transport	0.7453703703703703	0.8859673734418213	0.6476369688902203	11	-0.7875056729907791
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0004222	MF: metalloendopeptidase activity	0.8490566037735849	0.8859721082854799	0.7577393031388973	11	-0.7065608668574647
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0006886	BP: intracellular protein transport	0.7731481481481481	0.8978494623655915	0.656322706407596	11	-0.7732266088227924
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0001568	BP: blood vessel development	0.8058252427184466	0.9065533980582524	0.6626852324987226	12	-0.7448148206760565
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0043588	BP: skin development	0.7966101694915254	0.9065533980582524	0.6626852324987226	10	-0.7309725774075502
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0016477	BP: cell migration	0.8269720101781171	0.9081679741578219	0.6638654781855423	11	0.7274335560254079
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0051216	BP: cartilage development	0.8324873096446701	0.9081679741578219	0.6638654781855423	13	-0.7060365209072673
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0033290	CC: eukaryotic 48S preinitiation complex	0.7016908212560387	0.9121980676328503	0.7386219171116196	14	0.8605620786923749
GSEA	P_BD_vs_P_OD	NES_positive	MF	GO:0003924	MF: GTPase activity	0.9301310043668122	0.9499210257363188	0.8124324562218517	26	0.6323276160196225
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0060271	BP: cilium assembly	0.907608695652174	0.966920753631526	0.7068134163973143	14	-0.6494366576929451
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0001889	BP: liver development	0.91320293398533	0.966920753631526	0.7068134163973143	14	0.6349050453596331
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0001525	BP: angiogenesis	0.9549132947976878	0.9821965317919074	0.7179799209005171	20	0.5747478278965257
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0035987	BP: endodermal cell differentiation	0.9491525423728814	0.9821965317919074	0.7179799209005171	10	-0.5514247617015744
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005654	CC: nucleoplasm	0.8227459016393442	0.9897435897435898	0.8014118135575627	69	0.8254229814323444
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0022627	CC: cytosolic small ribosomal subunit	0.8859649122807017	0.9897435897435898	0.8014118135575627	23	-0.7662103425313053
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005794	CC: Golgi apparatus	0.808	0.9897435897435898	0.8014118135575627	21	0.7589350830878809
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005788	CC: endoplasmic reticulum lumen	0.7990196078431373	0.9897435897435898	0.8014118135575627	11	-0.7492490379844662
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005911	CC: cell-cell junction	0.8256097560975609	0.9897435897435898	0.8014118135575627	13	0.7453037356653323
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0009986	CC: cell surface	0.8778625954198473	0.9897435897435898	0.8014118135575627	19	-0.7120375381048761
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005783	CC: endoplasmic reticulum	0.9076923076923077	0.9897435897435898	0.8014118135575627	57	0.7096739006327142
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0022625	CC: cytosolic large ribosomal subunit	0.906283280085197	0.9897435897435898	0.8014118135575627	39	0.6986378310354757
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005887	CC: integral component of plasma membrane	0.8984468339307049	0.9897435897435898	0.8014118135575627	16	0.6701626007245333
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0062023	CC: collagen-containing extracellular matrix	0.9419978517722879	0.9897435897435898	0.8014118135575627	35	0.6303004808287289
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0000139	CC: Golgi membrane	0.9597560975609756	0.9897435897435898	0.8014118135575627	13	0.5620917537840333
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0043231	CC: intracellular membrane-bounded organelle	0.966183574879227	0.9897435897435898	0.8014118135575627	14	0.5435093734380662
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0030496	CC: midbody	0.973170731707317	0.9897435897435898	0.8014118135575627	13	0.5160820964950601
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005604	CC: basement membrane	0.9789864029666254	0.9897435897435898	0.8014118135575627	12	0.5026999335997612
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0005840	CC: ribosome	0.9897435897435898	0.9897435897435898	0.8014118135575627	56	0.5022376296292858
