collection	direction_filter	intersection	n_genes	genes
pseudoalbino_within_and_surface	all	P_OL_vs_P_BL	19	ENSSMAG00000001716;ENSSMAG00000002583;ENSSMAG00000006777;ENSSMAG00000007311;ENSSMAG00000007989;ENSSMAG00000012373;ENSSMAG00000012432;ENSSMAG00000012513;ENSSMAG00000013393;ENSSMAG00000016553;ENSSMAG00000019171;ENSSMAG00000021371;ENSSMAG00000023414;ENSSMAG00000025323;ENSSMAG00000025885;ENSSMAG00000026559;ENSSMAG00000036554;ENSSMAG00000037749;ENSSMAG00000037897
pseudoalbino_within_and_surface	all	P_OD_vs_P_OL & P_OL_vs_P_BL & P_surface_x_pigmentation	5	ENSSMAG00000000976;ENSSMAG00000001733;ENSSMAG00000011239;ENSSMAG00000011491;ENSSMAG00000031399
pseudoalbino_within_and_surface	all	P_BD_vs_P_BL & P_BD_vs_P_OD	3	ENSSMAG00000009643;ENSSMAG00000010634;ENSSMAG00000013626
pseudoalbino_within_and_surface	all	P_OD_vs_P_OL & P_BD_vs_P_BL	3	ENSSMAG00000028534;ENSSMAG00000030798;ENSSMAG00000033283
pseudoalbino_within_and_surface	all	P_OD_vs_P_OL & P_BD_vs_P_BL & P_OL_vs_P_BL & P_surface_x_pigmentation	2	ENSSMAG00000001438;ENSSMAG00000005604
pseudoalbino_within_and_surface	all	P_BD_vs_P_BL & P_OL_vs_P_BL	1	ENSSMAG00000020424
pseudoalbino_within_and_surface	all	P_OD_vs_P_OL & P_surface_x_pigmentation	1	ENSSMAG00000019773
abnormal_vs_expected	all	P_BD_vs_N_BL	283	ENSSMAG00000000015;ENSSMAG00000000087;ENSSMAG00000000234;ENSSMAG00000000395;ENSSMAG00000000474;ENSSMAG00000000780;ENSSMAG00000000792;ENSSMAG00000000804;ENSSMAG00000000944;ENSSMAG00000000993;ENSSMAG00000001045;ENSSMAG00000001290;ENSSMAG00000001446;ENSSMAG00000001588;ENSSMAG00000001737;ENSSMAG00000001738;ENSSMAG00000001772;ENSSMAG00000001850;ENSSMAG00000001955;ENSSMAG00000001960;ENSSMAG00000002045;ENSSMAG00000002083;ENSSMAG00000002134;ENSSMAG00000002162;ENSSMAG00000002167;ENSSMAG00000002449;ENSSMAG00000002694;ENSSMAG00000002702;ENSSMAG00000002908;ENSSMAG00000003021;ENSSMAG00000003050;ENSSMAG00000003059;ENSSMAG00000003241;ENSSMAG00000003350;ENSSMAG00000003469;ENSSMAG00000003630;ENSSMAG00000003916;ENSSMAG00000004069;ENSSMAG00000004263;ENSSMAG00000004443;ENSSMAG00000004530;ENSSMAG00000004960;ENSSMAG00000004971;ENSSMAG00000005062;ENSSMAG00000005065;ENSSMAG00000005186;ENSSMAG00000005227;ENSSMAG00000005238;ENSSMAG00000005276;ENSSMAG00000005321;ENSSMAG00000005497;ENSSMAG00000005595;ENSSMAG00000005625;ENSSMAG00000005705;ENSSMAG00000005807;ENSSMAG00000005893;ENSSMAG00000005929;ENSSMAG00000005985;ENSSMAG00000006153;ENSSMAG00000006157;ENSSMAG00000006194;ENSSMAG00000006245;ENSSMAG00000006257;ENSSMAG00000006335;ENSSMAG00000006380;ENSSMAG00000006397;ENSSMAG00000006578;ENSSMAG00000006593;ENSSMAG00000006594;ENSSMAG00000006952;ENSSMAG00000007045;ENSSMAG00000007063;ENSSMAG00000007231;ENSSMAG00000007247;ENSSMAG00000007275;ENSSMAG00000007284;ENSSMAG00000007412;ENSSMAG00000007705;ENSSMAG00000007885;ENSSMAG00000007963;ENSSMAG00000008041;ENSSMAG00000008153;ENSSMAG00000008216;ENSSMAG00000008245;ENSSMAG00000008289;ENSSMAG00000008485;ENSSMAG00000008733;ENSSMAG00000008760;ENSSMAG00000008810;ENSSMAG00000008887;ENSSMAG00000008992;ENSSMAG00000009005;ENSSMAG00000009007;ENSSMAG00000009022;ENSSMAG00000009239;ENSSMAG00000009260;ENSSMAG00000009388;ENSSMAG00000009449;ENSSMAG00000009456;ENSSMAG00000009528;ENSSMAG00000009635;ENSSMAG00000009643;ENSSMAG00000009831;ENSSMAG00000009902;ENSSMAG00000009992;ENSSMAG00000009995;ENSSMAG00000010049;ENSSMAG00000010118;ENSSMAG00000010206;ENSSMAG00000010242;ENSSMAG00000010313;ENSSMAG00000010318;ENSSMAG00000010343;ENSSMAG00000010469;ENSSMAG00000010584;ENSSMAG00000010622;ENSSMAG00000010634;ENSSMAG00000010685;ENSSMAG00000010735;ENSSMAG00000010786;ENSSMAG00000010806;ENSSMAG00000010810;ENSSMAG00000010837;ENSSMAG00000010898;ENSSMAG00000010977;ENSSMAG00000011025;ENSSMAG00000011130;ENSSMAG00000011432;ENSSMAG00000011645;ENSSMAG00000011868;ENSSMAG00000011881;ENSSMAG00000011943;ENSSMAG00000012051;ENSSMAG00000012081;ENSSMAG00000012101;ENSSMAG00000012121;ENSSMAG00000012144;ENSSMAG00000012189;ENSSMAG00000012275;ENSSMAG00000012360;ENSSMAG00000012450;ENSSMAG00000012569;ENSSMAG00000012664;ENSSMAG00000012958;ENSSMAG00000013090;ENSSMAG00000013110;ENSSMAG00000013183;ENSSMAG00000013325;ENSSMAG00000013347;ENSSMAG00000013352;ENSSMAG00000013353;ENSSMAG00000013375;ENSSMAG00000013659;ENSSMAG00000013879;ENSSMAG00000013971;ENSSMAG00000014093;ENSSMAG00000014239;ENSSMAG00000014298;ENSSMAG00000014321;ENSSMAG00000014512;ENSSMAG00000014545;ENSSMAG00000014549;ENSSMAG00000014627;ENSSMAG00000014700;ENSSMAG00000014705;ENSSMAG00000014738;ENSSMAG00000014781;ENSSMAG00000014849;ENSSMAG00000014909;ENSSMAG00000014936;ENSSMAG00000015058;ENSSMAG00000015112;ENSSMAG00000015151;ENSSMAG00000015219;ENSSMAG00000015348;ENSSMAG00000015365;ENSSMAG00000015559;ENSSMAG00000015655;ENSSMAG00000015935;ENSSMAG00000015983;ENSSMAG00000016146;ENSSMAG00000016293;ENSSMAG00000016477;ENSSMAG00000016571;ENSSMAG00000016626;ENSSMAG00000016659;ENSSMAG00000016974;ENSSMAG00000017107;ENSSMAG00000017130;ENSSMAG00000017147;ENSSMAG00000017254;ENSSMAG00000017341;ENSSMAG00000017397;ENSSMAG00000017635;ENSSMAG00000017720;ENSSMAG00000017836;ENSSMAG00000017945;ENSSMAG00000017949;ENSSMAG00000018102;ENSSMAG00000018168;ENSSMAG00000018249;ENSSMAG00000018314;ENSSMAG00000018315;ENSSMAG00000018333;ENSSMAG00000018467;ENSSMAG00000018521;ENSSMAG00000018646;ENSSMAG00000018719;ENSSMAG00000019315;ENSSMAG00000019451;ENSSMAG00000019514;ENSSMAG00000019541;ENSSMAG00000019592;ENSSMAG00000019619;ENSSMAG00000019804;ENSSMAG00000019908;ENSSMAG00000020029;ENSSMAG00000020083;ENSSMAG00000020308;ENSSMAG00000020351;ENSSMAG00000020552;ENSSMAG00000020635;ENSSMAG00000020740;ENSSMAG00000020754;ENSSMAG00000020806;ENSSMAG00000020854;ENSSMAG00000020885;ENSSMAG00000020902;ENSSMAG00000020903;ENSSMAG00000021088;ENSSMAG00000021101;ENSSMAG00000021113;ENSSMAG00000021118;ENSSMAG00000021158;ENSSMAG00000021318;ENSSMAG00000021351;ENSSMAG00000021653;ENSSMAG00000021769;ENSSMAG00000022100;ENSSMAG00000022426;ENSSMAG00000022607;ENSSMAG00000022653;ENSSMAG00000022757;ENSSMAG00000023300;ENSSMAG00000023739;ENSSMAG00000024050;ENSSMAG00000024854;ENSSMAG00000025058;ENSSMAG00000025244;ENSSMAG00000025337;ENSSMAG00000025525;ENSSMAG00000025890;ENSSMAG00000025975;ENSSMAG00000025993;ENSSMAG00000026503;ENSSMAG00000027128;ENSSMAG00000028534;ENSSMAG00000028634;ENSSMAG00000028734;ENSSMAG00000028779;ENSSMAG00000029731;ENSSMAG00000029904;ENSSMAG00000030216;ENSSMAG00000030466;ENSSMAG00000030879;ENSSMAG00000031971;ENSSMAG00000032465;ENSSMAG00000032878;ENSSMAG00000033288;ENSSMAG00000033420;ENSSMAG00000033434;ENSSMAG00000033585;ENSSMAG00000033863;ENSSMAG00000034133;ENSSMAG00000034563;ENSSMAG00000034743;ENSSMAG00000034755;ENSSMAG00000034873;ENSSMAG00000034994;ENSSMAG00000035071;ENSSMAG00000035843;ENSSMAG00000036494;ENSSMAG00000036671
abnormal_vs_expected	all	P_OL_vs_N_OD	33	ENSSMAG00000000432;ENSSMAG00000000942;ENSSMAG00000002991;ENSSMAG00000004685;ENSSMAG00000006274;ENSSMAG00000007379;ENSSMAG00000009236;ENSSMAG00000010605;ENSSMAG00000012177;ENSSMAG00000012613;ENSSMAG00000012655;ENSSMAG00000013184;ENSSMAG00000014762;ENSSMAG00000015122;ENSSMAG00000015637;ENSSMAG00000015869;ENSSMAG00000015984;ENSSMAG00000016075;ENSSMAG00000016108;ENSSMAG00000018410;ENSSMAG00000019324;ENSSMAG00000020163;ENSSMAG00000020700;ENSSMAG00000020884;ENSSMAG00000022071;ENSSMAG00000023260;ENSSMAG00000023265;ENSSMAG00000024651;ENSSMAG00000027979;ENSSMAG00000028438;ENSSMAG00000029823;ENSSMAG00000036554;ENSSMAG00000036716
abnormal_vs_expected	all	P_OL_vs_N_OD & P_BD_vs_N_BL	5	ENSSMAG00000014583;ENSSMAG00000023012;ENSSMAG00000029313;ENSSMAG00000031332;ENSSMAG00000032043
