method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0014823	BP: response to activity	response to activity	0.00127562359711218	0.0429397413792616	0.0388018632867715	24	-1.90261807613914		other	Otros
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0010880	BP: regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	0.00130338635444877	0.0432352496991266	0.0390688950168006	13	-1.86889996098725		other	Otros
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0007274	BP: neuromuscular synaptic transmission	neuromuscular synaptic transmission	0.00133905729078808	0.0432352496991266	0.0390688950168006	25	-1.86085269154111		other	Otros
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0030198	BP: extracellular matrix organization	extracellular matrix organization	0.001341067159737	0.0432352496991266	0.0390688950168006	146	-1.61315821183895		matriz_adhesion	Matriz extracelular/adhesion
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0016055	BP: Wnt signaling pathway	Wnt signaling pathway	0.00139195325522539	0.0442525139057073	0.0399881307970453	146	1.56779410000958		wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:1903078	BP: positive regulation of protein localization to plasma membrane	positive regulation of protein localization to plasma membrane	0.00141579904391457	0.0443940275550748	0.0401160075168297	39	1.79800675381293		other	Otros
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0030917	BP: midbrain-hindbrain boundary development	midbrain-hindbrain boundary development	0.00149412582095347	0.0462169460021959	0.0417632608559541	26	1.85424554666985		neural_desarrollo	Neural/axon/cresta
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0072593	BP: reactive oxygen species metabolic process	reactive oxygen species metabolic process	0.00157286048888011	0.0480037021206209	0.0433778366406935	28	-1.86844314226687		other	Otros
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0030018	CC: Z disc	Z disc	8.50655371994405e-24	4.13418510789281e-21	3.63543243189188e-21	127	-2.90673740927546		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0005739	CC: mitochondrion	mitochondrion	1.10775758930227e-16	2.69185094200452e-14	2.36710305924591e-14	446	-2.17957347316421		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0031430	CC: M band	M band	1.2778561127231e-14	2.07012690261142e-12	1.82038449742308e-12	39	-2.79726615573325		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0005865	CC: striated muscle thin filament	striated muscle thin filament	9.07176621773425e-14	1.10221959545471e-11	9.69246601157923e-12	38	-2.7583823711634		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0030017	CC: sarcomere	sarcomere	5.2576056725735e-11	5.11039271374144e-09	4.49386926961019e-09	62	-2.55793050517613		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0005743	CC: mitochondrial inner membrane	mitochondrial inner membrane	6.58865953916551e-08	5.33681422672406e-06	4.69297504017754e-06	80	-2.24056813858737		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_OL_vs_P_BL	NES_positive	CC	GO:0005887	CC: integral component of plasma membrane	integral component of plasma membrane	1.10806697719999e-07	7.69315072741706e-06	6.76504049237888e-06	409	1.68459672726807		other	Otros
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0036379	CC: myofilament	myofilament	2.29512311784127e-07	1.39428729408857e-05	1.22607892874152e-05	14	-2.28559594688727		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0005747	CC: mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I	3.60734518412245e-07	1.94796639942612e-05	1.71296157281136e-05	41	-2.28757349879222		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0030016	CC: myofibril	myofibril	7.72082717988964e-07	3.75232200942637e-05	3.29963772108968e-05	30	-2.31625887593402		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0005861	CC: troponin complex	troponin complex	4.079725687027e-06	0.00018024969853592	0.000158504175017508	32	-2.22150700464144		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_positive	CC	GO:0009986	CC: cell surface	cell surface	6.19897188972451e-06	0.000251058361533842	0.000220770402388434	257	1.69324479078503		other	Otros
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0042383	CC: sarcolemma	sarcolemma	7.60916965817452e-06	0.00028446588106714	0.000250147601718126	61	-2.10865730104961		other	Otros
GSEA	P_OL_vs_P_BL	NES_positive	CC	GO:0030057	CC: desmosome	desmosome	1.0803293958326e-05	0.000364834047531308	0.000320820063456164	20	2.10970368862601		epidermis_epitelio	Epidermis/epitelio
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	1.1260310108991e-05	0.000364834047531308	0.000320820063456164	129	-1.86808669621372		matriz_adhesion	Matriz extracelular/adhesion
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0031674	CC: I band	I band	2.08756118282867e-05	0.000634096709284208	0.000557598579097657	21	-2.1139345340537		other	Otros
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0016529	CC: sarcoplasmic reticulum	sarcoplasmic reticulum	2.71992865605478e-05	0.000720348680593644	0.000633445016939614	32	-2.1179744409583		other	Otros
GSEA	P_OL_vs_P_BL	NES_positive	CC	GO:0005911	CC: cell-cell junction	cell-cell junction	2.81617796939902e-05	0.000720348680593644	0.000633445016939614	155	1.77824137586552		epidermis_epitelio	Epidermis/epitelio
GSEA	P_OL_vs_P_BL	NES_positive	CC	GO:0005576	CC: extracellular region	extracellular region	2.6675140837847e-05	0.000720348680593644	0.000633445016939614	310	1.61239000344601		other	Otros
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0005840	CC: ribosome	ribosome	2.97002733942138e-05	0.000721716643479396	0.000634647947265833	156	-1.78806920668085		traduccion_ribosoma	Traduccion/ribosoma
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0033017	CC: sarcoplasmic reticulum membrane	sarcoplasmic reticulum membrane	7.10413949522218e-05	0.00164410085460856	0.00144575470429083	25	-2.05907738846551		other	Otros
GSEA	P_OL_vs_P_BL	NES_positive	CC	GO:0005923	CC: bicellular tight junction	bicellular tight junction	7.92641206630977e-05	0.00175101648373934	0.0015397719133597	82	1.82914126687619		other	Otros
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0042645	CC: mitochondrial nucleoid	mitochondrial nucleoid	9.60599386929672e-05	0.00202978826977313	0.00178491236198374	41	-2.00262869356449		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0030315	CC: T-tubule	T-tubule	0.000110018528800784	0.00222787520821587	0.00195910187250519	21	-2.01150098007629		other	Otros
