Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	JABGBL010000105.1	JABGBL010000122.1	JABGBL010000103.1	JABGBL010000051.1	JABGBL010000101.1	JABGBL010000121.1	JABGBL010000115.1	JABGBL010000052.1	JABGBL010000124.1	JABGBL010000126.1	JABGBL010000117.1	JABGBL010000027.1	JABGBL010000056.1	JABGBL010000104.1	JABGBL010000053.1	JABGBL010000065.1	JABGBL010000114.1	JABGBL010000088.1	JABGBL010000112.1	JABGBL010000029.1	JABGBL010000059.1	JABGBL010000045.1	JABGBL010000109.1	JABGBL010000063.1	JABGBL010000094.1	JABGBL010000050.1	JABGBL010000061.1	JABGBL010000118.1	JABGBL010000085.1	JABGBL010000089.1	JABGBL010000055.1	JABGBL010000099.1	JABGBL010000097.1	JABGBL010000023.1	JABGBL010000076.1	JABGBL010000032.1	JABGBL010000044.1	JABGBL010000123.1	JABGBL010000039.1	JABGBL010000060.1	JABGBL010000087.1	JABGBL010000106.1	JABGBL010000066.1	JABGBL010000107.1	JABGBL010000092.1	JABGBL010000062.1	JABGBL010000058.1	JABGBL010000075.1	JABGBL010000091.1	JABGBL010000110.1	JABGBL010000031.1	JABGBL010000037.1	JABGBL010000064.1	JABGBL010000093.1	JABGBL010000096.1	JABGBL010000079.1	JABGBL010000086.1	JABGBL010000069.1	JABGBL010000038.1	JABGBL010000125.1	MT	JABGBL010000095.1	JABGBL010000068.1	JABGBL010000035.1	JABGBL010000074.1	JABGBL010000116.1	JABGBL010000043.1	JABGBL010000082.1	JABGBL010000034.1	JABGBL010000111.1	JABGBL010000036.1	JABGBL010000113.1	JABGBL010000071.1	JABGBL010000078.1	JABGBL010000042.1	JABGBL010000046.1	JABGBL010000083.1	JABGBL010000090.1	JABGBL010000048.1	JABGBL010000025.1	JABGBL010000028.1	JABGBL010000070.1	JABGBL010000057.1	JABGBL010000047.1	JABGBL010000026.1	JABGBL010000081.1	JABGBL010000033.1	JABGBL010000120.1	JABGBL010000098.1	JABGBL010000040.1	JABGBL010000049.1	JABGBL010000119.1	JABGBL010000108.1	JABGBL010000030.1	JABGBL010000072.1	JABGBL010000077.1	JABGBL010000054.1	JABGBL010000067.1	JABGBL010000024.1	JABGBL010000102.1	JABGBL010000084.1	JABGBL010000100.1	JABGBL010000080.1	JABGBL010000073.1	JABGBL010000041.1	*
P42	[2729342, 32119850]	[2163782, 25180939]	[21747303, 25665789]	[2257238, 31577461]	[2006414, 30917075]	[2589136, 27601780]	[2427748, 28393506]	[2229456, 25851785]	[1489116, 26283457]	[3136438, 25992650]	[3057630, 26127079]	[1744794, 27870118]	[2210398, 25949660]	[1741504, 23203612]	[1331704, 23583831]	[2039074, 22562637]	[1330482, 23140758]	[4483410, 21926842]	[7219410, 21085167]	[1417008, 20466349]	[1009956, 15987373]	[5306052, 15313470]	[100, 734684]	[14, 663028]	[70, 456284]	[1568, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[26, 312114]	[39460, 284748]	[0, 269542]	[16, 267905]	[0, 262368]	[874, 255828]	[574, 255525]	[16, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[378, 165076]	[0, 152858]	[1760, 148969]	[4064, 146700]	[72262, 142023]	[0, 130955]	[188, 117560]	[72, 117522]	[0, 105387]	[264, 101492]	[10, 90080]	[8, 81241]	[0, 80797]	[22, 76435]	[0, 74917]	[0, 74601]	[308, 73722]	[6, 60620]	[24, 52610]	[272, 49987]	[52, 48452]	[0, 48053]	[0, 47328]	[1678, 45745]	[2, 36111]	[52, 35689]	[80, 33834]	[0, 33310]	[0, 33296]	[14, 26089]	[82, 25164]	[6, 24722]	[108, 22729]	[30, 22487]	[2, 21911]	[6, 21566]	[0, 19420]	[30, 18692]	[438814, 17583]	[0, 17221]	[0, 17179]	[38, 15787]	[26, 15656]	[292, 15462]	[28, 14934]	[0, 13838]	[0, 12781]	[184, 12465]	[4, 11504]	[0, 11373]	[8, 11367]	[0, 11102]	[34, 10694]	[14, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[102, 7985]	[0, 7519]	[60, 7005]	[0, 6879]	[0, 6749]	[0, 6721]	[0, 6478]	[0, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[8, 3474]	[0, 2958]	[0, 2301]	[0, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P43	[2460814, 32119850]	[1305296, 25180939]	[14346120, 25665789]	[2706552, 31577461]	[1763168, 30917075]	[1511212, 27601780]	[1480416, 28393506]	[1362374, 25851785]	[815400, 26283457]	[4513202, 25992650]	[1403904, 26127079]	[895032, 27870118]	[1251962, 25949660]	[1203794, 23203612]	[730114, 23583831]	[1253584, 22562637]	[685284, 23140758]	[3396050, 21926842]	[6954056, 21085167]	[819958, 20466349]	[644784, 15987373]	[3512590, 15313470]	[56, 734684]	[10, 663028]	[12, 456284]	[330, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[30, 312114]	[4198, 284748]	[42, 269542]	[10, 267905]	[0, 262368]	[176, 255828]	[118, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[54, 165076]	[0, 152858]	[914, 148969]	[8976, 146700]	[7922, 142023]	[0, 130955]	[26, 117560]	[10, 117522]	[0, 105387]	[14, 101492]	[0, 90080]	[0, 81241]	[0, 80797]	[4, 76435]	[0, 74917]	[0, 74601]	[24, 73722]	[10, 60620]	[4, 52610]	[126, 49987]	[22, 48452]	[0, 48053]	[0, 47328]	[462, 45745]	[0, 36111]	[10, 35689]	[6, 33834]	[0, 33310]	[0, 33296]	[0, 26089]	[0, 25164]	[0, 24722]	[12, 22729]	[0, 22487]	[0, 21911]	[10, 21566]	[0, 19420]	[10, 18692]	[292960, 17583]	[0, 17221]	[36, 17179]	[18, 15787]	[0, 15656]	[146, 15462]	[6, 14934]	[0, 13838]	[0, 12781]	[2, 12465]	[0, 11504]	[0, 11373]	[0, 11367]	[0, 11102]	[40, 10694]	[0, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[52, 7985]	[0, 7519]	[10, 7005]	[0, 6879]	[4, 6749]	[0, 6721]	[0, 6478]	[2, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[2, 2301]	[26, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P44	[3364886, 32119850]	[1646018, 25180939]	[21589147, 25665789]	[2059258, 31577461]	[2206920, 30917075]	[2018396, 27601780]	[1932022, 28393506]	[1711246, 25851785]	[1048848, 26283457]	[5499714, 25992650]	[1715410, 26127079]	[1132572, 27870118]	[1498156, 25949660]	[1593554, 23203612]	[885360, 23583831]	[1526588, 22562637]	[898636, 23140758]	[3766528, 21926842]	[7593384, 21085167]	[1025556, 20466349]	[1537384, 15987373]	[4013240, 15313470]	[86, 734684]	[6, 663028]	[30, 456284]	[398, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[2, 312114]	[6422, 284748]	[8, 269542]	[58, 267905]	[0, 262368]	[188, 255828]	[112, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[254, 165076]	[2, 152858]	[960, 148969]	[5952, 146700]	[12052, 142023]	[0, 130955]	[94, 117560]	[30, 117522]	[0, 105387]	[50, 101492]	[0, 90080]	[0, 81241]	[0, 80797]	[4, 76435]	[0, 74917]	[0, 74601]	[94, 73722]	[6, 60620]	[20, 52610]	[128, 49987]	[12, 48452]	[0, 48053]	[0, 47328]	[694, 45745]	[0, 36111]	[36, 35689]	[20, 33834]	[0, 33310]	[2, 33296]	[2, 26089]	[12, 25164]	[0, 24722]	[12, 22729]	[4, 22487]	[4, 21911]	[6, 21566]	[0, 19420]	[4, 18692]	[552222, 17583]	[0, 17221]	[34, 17179]	[8, 15787]	[0, 15656]	[126, 15462]	[4, 14934]	[0, 13838]	[0, 12781]	[6, 12465]	[2, 11504]	[0, 11373]	[0, 11367]	[0, 11102]	[24, 10694]	[0, 10630]	[0, 10571]	[8, 10332]	[0, 10065]	[40, 7985]	[0, 7519]	[2, 7005]	[0, 6879]	[4, 6749]	[0, 6721]	[0, 6478]	[0, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[24, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[2, 655]	[0, 480]	[0, 0]
P45	[2148850, 32119850]	[1787190, 25180939]	[18156297, 25665789]	[2625340, 31577461]	[1426610, 30917075]	[2151864, 27601780]	[2431922, 28393506]	[1529240, 25851785]	[1255188, 26283457]	[1656894, 25992650]	[2013842, 26127079]	[1312426, 27870118]	[1868065, 25949660]	[1471752, 23203612]	[1109846, 23583831]	[1578842, 22562637]	[1001140, 23140758]	[4104736, 21926842]	[5432252, 21085167]	[1165216, 20466349]	[847780, 15987373]	[5394404, 15313470]	[128, 734684]	[6, 663028]	[4, 456284]	[930, 396661]	[0, 387508]	[8, 366410]	[0, 355565]	[4, 313636]	[28, 312114]	[8628, 284748]	[26, 269542]	[58, 267905]	[2, 262368]	[402, 255828]	[196, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[142, 165076]	[4, 152858]	[1192, 148969]	[4564, 146700]	[18684, 142023]	[0, 130955]	[30, 117560]	[44, 117522]	[0, 105387]	[54, 101492]	[10, 90080]	[0, 81241]	[0, 80797]	[2, 76435]	[0, 74917]	[0, 74601]	[78, 73722]	[6, 60620]	[6, 52610]	[230, 49987]	[14, 48452]	[0, 48053]	[0, 47328]	[968, 45745]	[0, 36111]	[0, 35689]	[10, 33834]	[0, 33310]	[0, 33296]	[20, 26089]	[16, 25164]	[0, 24722]	[12, 22729]	[20, 22487]	[0, 21911]	[6, 21566]	[0, 19420]	[6, 18692]	[1114884, 17583]	[0, 17221]	[48, 17179]	[14, 15787]	[16, 15656]	[194, 15462]	[14, 14934]	[0, 13838]	[0, 12781]	[54, 12465]	[2, 11504]	[0, 11373]	[10, 11367]	[22, 11102]	[14, 10694]	[52, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[88, 7985]	[0, 7519]	[4, 7005]	[0, 6879]	[18, 6749]	[4, 6721]	[0, 6478]	[2, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[2, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[10, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P46	[2182938, 32119850]	[1553904, 25180939]	[13047596, 25665789]	[1681716, 31577461]	[1601792, 30917075]	[1850090, 27601780]	[1867910, 28393506]	[1609050, 25851785]	[1109842, 26283457]	[3120170, 25992650]	[2373164, 26127079]	[1248510, 27870118]	[1630520, 25949660]	[1351050, 23203612]	[1059908, 23583831]	[1385548, 22562637]	[906196, 23140758]	[3766300, 21926842]	[5098134, 21085167]	[1009510, 20466349]	[785772, 15987373]	[3941626, 15313470]	[124, 734684]	[8, 663028]	[0, 456284]	[608, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[0, 312114]	[14100, 284748]	[8, 269542]	[102, 267905]	[0, 262368]	[158, 255828]	[244, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[44, 165076]	[12, 152858]	[1372, 148969]	[3938, 146700]	[29692, 142023]	[0, 130955]	[40, 117560]	[20, 117522]	[0, 105387]	[20, 101492]	[52, 90080]	[0, 81241]	[0, 80797]	[6, 76435]	[0, 74917]	[2, 74601]	[58, 73722]	[8, 60620]	[10, 52610]	[196, 49987]	[4, 48452]	[0, 48053]	[0, 47328]	[1498, 45745]	[0, 36111]	[46, 35689]	[0, 33834]	[0, 33310]	[0, 33296]	[10, 26089]	[14, 25164]	[0, 24722]	[20, 22729]	[6, 22487]	[0, 21911]	[8, 21566]	[0, 19420]	[4, 18692]	[424992, 17583]	[0, 17221]	[44, 17179]	[8, 15787]	[0, 15656]	[132, 15462]	[10, 14934]	[0, 13838]	[4, 12781]	[106, 12465]	[0, 11504]	[0, 11373]	[0, 11367]	[18, 11102]	[36, 10694]	[16, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[80, 7985]	[0, 7519]	[2, 7005]	[0, 6879]	[4, 6749]	[0, 6721]	[0, 6478]	[0, 5760]	[2, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[6, 2265]	[0, 2203]	[0, 2136]	[2, 2042]	[0, 1794]	[0, 868]	[2, 655]	[0, 480]	[0, 0]
P47	[2087142, 32119850]	[2123534, 25180939]	[11849276, 25665789]	[1621278, 31577461]	[1970856, 30917075]	[1504752, 27601780]	[1617294, 28393506]	[1716170, 25851785]	[866958, 26283457]	[4992826, 25992650]	[1443680, 26127079]	[886770, 27870118]	[1319006, 25949660]	[1600120, 23203612]	[749490, 23583831]	[1206228, 22562637]	[1056310, 23140758]	[4085734, 21926842]	[5565260, 21085167]	[784624, 20466349]	[581234, 15987373]	[4173044, 15313470]	[72, 734684]	[0, 663028]	[6, 456284]	[300, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[40, 312114]	[2316, 284748]	[0, 269542]	[52, 267905]	[0, 262368]	[68, 255828]	[80, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[74, 165076]	[8, 152858]	[1014, 148969]	[6586, 146700]	[5062, 142023]	[0, 130955]	[24, 117560]	[12, 117522]	[0, 105387]	[66, 101492]	[16, 90080]	[0, 81241]	[0, 80797]	[12, 76435]	[0, 74917]	[0, 74601]	[16, 73722]	[0, 60620]	[0, 52610]	[152, 49987]	[2, 48452]	[0, 48053]	[0, 47328]	[320, 45745]	[20, 36111]	[0, 35689]	[14, 33834]	[0, 33310]	[0, 33296]	[0, 26089]	[0, 25164]	[0, 24722]	[4, 22729]	[6, 22487]	[10, 21911]	[0, 21566]	[0, 19420]	[10, 18692]	[434566, 17583]	[0, 17221]	[42, 17179]	[0, 15787]	[8, 15656]	[114, 15462]	[18, 14934]	[0, 13838]	[0, 12781]	[12, 12465]	[0, 11504]	[0, 11373]	[2, 11367]	[6, 11102]	[2, 10694]	[2, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[42, 7985]	[0, 7519]	[2, 7005]	[0, 6879]	[6, 6749]	[0, 6721]	[0, 6478]	[0, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[4, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P48	[2314898, 32119850]	[1924456, 25180939]	[13591954, 25665789]	[1964294, 31577461]	[1684974, 30917075]	[2371554, 27601780]	[2762092, 28393506]	[1553844, 25851785]	[1364814, 26283457]	[2366530, 25992650]	[1996572, 26127079]	[1347344, 27870118]	[2021688, 25949660]	[1562934, 23203612]	[1135414, 23583831]	[1699170, 22562637]	[1017652, 23140758]	[4628820, 21926842]	[6036214, 21085167]	[1234528, 20466349]	[882358, 15987373]	[6404446, 15313470]	[64, 734684]	[0, 663028]	[4, 456284]	[528, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[16, 312114]	[4132, 284748]	[4, 269542]	[32, 267905]	[0, 262368]	[180, 255828]	[116, 255525]	[6, 237754]	[0, 209868]	[0, 197706]	[2, 182211]	[0, 177484]	[6, 173752]	[0, 170077]	[60, 165076]	[6, 152858]	[1534, 148969]	[7208, 146700]	[8792, 142023]	[0, 130955]	[34, 117560]	[32, 117522]	[0, 105387]	[34, 101492]	[18, 90080]	[2, 81241]	[0, 80797]	[4, 76435]	[0, 74917]	[0, 74601]	[30, 73722]	[0, 60620]	[10, 52610]	[274, 49987]	[2, 48452]	[0, 48053]	[0, 47328]	[620, 45745]	[0, 36111]	[4, 35689]	[36, 33834]	[0, 33310]	[0, 33296]	[8, 26089]	[8, 25164]	[0, 24722]	[4, 22729]	[12, 22487]	[2, 21911]	[0, 21566]	[4, 19420]	[0, 18692]	[1278748, 17583]	[0, 17221]	[48, 17179]	[14, 15787]	[0, 15656]	[192, 15462]	[18, 14934]	[0, 13838]	[4, 12781]	[20, 12465]	[0, 11504]	[0, 11373]	[0, 11367]	[0, 11102]	[4, 10694]	[18, 10630]	[0, 10571]	[2, 10332]	[0, 10065]	[38, 7985]	[0, 7519]	[0, 7005]	[0, 6879]	[4, 6749]	[30, 6721]	[0, 6478]	[0, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[6, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P49	[2579404, 32119850]	[1560204, 25180939]	[15160222, 25665789]	[1463008, 31577461]	[1253720, 30917075]	[1766744, 27601780]	[1955092, 28393506]	[1464784, 25851785]	[1092776, 26283457]	[1225536, 25992650]	[2249848, 26127079]	[1175116, 27870118]	[1814068, 25949660]	[1190888, 23203612]	[997900, 23583831]	[1461920, 22562637]	[837384, 23140758]	[5216868, 21926842]	[5694194, 21085167]	[1068158, 20466349]	[772608, 15987373]	[6046970, 15313470]	[98, 734684]	[4, 663028]	[0, 456284]	[186, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[2, 312114]	[9144, 284748]	[0, 269542]	[36, 267905]	[0, 262368]	[44, 255828]	[34, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[14, 165076]	[0, 152858]	[968, 148969]	[10894, 146700]	[16760, 142023]	[0, 130955]	[36, 117560]	[72, 117522]	[0, 105387]	[10, 101492]	[10, 90080]	[0, 81241]	[0, 80797]	[2, 76435]	[0, 74917]	[0, 74601]	[22, 73722]	[4, 60620]	[4, 52610]	[98, 49987]	[0, 48452]	[0, 48053]	[0, 47328]	[880, 45745]	[0, 36111]	[0, 35689]	[42, 33834]	[0, 33310]	[6, 33296]	[0, 26089]	[56, 25164]	[0, 24722]	[0, 22729]	[16, 22487]	[8, 21911]	[4, 21566]	[0, 19420]	[0, 18692]	[542218, 17583]	[0, 17221]	[62, 17179]	[0, 15787]	[0, 15656]	[78, 15462]	[6, 14934]	[0, 13838]	[0, 12781]	[52, 12465]	[0, 11504]	[0, 11373]	[0, 11367]	[2, 11102]	[56, 10694]	[16, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[48, 7985]	[0, 7519]	[2, 7005]	[0, 6879]	[0, 6749]	[0, 6721]	[0, 6478]	[4, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[8, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P50	[2398950, 32119850]	[2134172, 25180939]	[21191202, 25665789]	[2036578, 31577461]	[1521364, 30917075]	[2263732, 27601780]	[2766780, 28393506]	[1908306, 25851785]	[1576556, 26283457]	[1568042, 25992650]	[2708872, 26127079]	[1644814, 27870118]	[2305062, 25949660]	[1850408, 23203612]	[1413134, 23583831]	[1921802, 22562637]	[1214910, 23140758]	[8918498, 21926842]	[6438750, 21085167]	[1309284, 20466349]	[1011694, 15987373]	[8080630, 15313470]	[112, 734684]	[0, 663028]	[4, 456284]	[678, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[4, 312114]	[19604, 284748]	[0, 269542]	[14, 267905]	[0, 262368]	[208, 255828]	[356, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[0, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[46, 165076]	[12, 152858]	[2086, 148969]	[3028, 146700]	[36718, 142023]	[0, 130955]	[50, 117560]	[154, 117522]	[0, 105387]	[118, 101492]	[20, 90080]	[0, 81241]	[0, 80797]	[4, 76435]	[0, 74917]	[0, 74601]	[42, 73722]	[0, 60620]	[2, 52610]	[144, 49987]	[28, 48452]	[0, 48053]	[0, 47328]	[792, 45745]	[0, 36111]	[4, 35689]	[22, 33834]	[0, 33310]	[0, 33296]	[30, 26089]	[50, 25164]	[2, 24722]	[142, 22729]	[20, 22487]	[4, 21911]	[0, 21566]	[0, 19420]	[10, 18692]	[616068, 17583]	[0, 17221]	[64, 17179]	[10, 15787]	[8, 15656]	[144, 15462]	[36, 14934]	[0, 13838]	[2, 12781]	[182, 12465]	[0, 11504]	[0, 11373]	[4, 11367]	[0, 11102]	[6, 10694]	[10, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[94, 7985]	[0, 7519]	[10, 7005]	[0, 6879]	[6, 6749]	[0, 6721]	[0, 6478]	[2, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[0, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P51	[2353090, 32119850]	[1980912, 25180939]	[19978978, 25665789]	[1943552, 31577461]	[1559192, 30917075]	[1977978, 27601780]	[2036458, 28393506]	[1840438, 25851785]	[1341598, 26283457]	[1637292, 25992650]	[4133080, 26127079]	[1722472, 27870118]	[1991738, 25949660]	[1292886, 23203612]	[1407034, 23583831]	[1559486, 22562637]	[1231086, 23140758]	[3477482, 21926842]	[5170038, 21085167]	[1192374, 20466349]	[771754, 15987373]	[4560730, 15313470]	[110, 734684]	[2, 663028]	[2, 456284]	[1090, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[0, 312114]	[40876, 284748]	[6, 269542]	[16, 267905]	[0, 262368]	[454, 255828]	[444, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[6, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[170, 165076]	[0, 152858]	[1062, 148969]	[4196, 146700]	[76824, 142023]	[0, 130955]	[132, 117560]	[170, 117522]	[0, 105387]	[122, 101492]	[6, 90080]	[0, 81241]	[0, 80797]	[20, 76435]	[0, 74917]	[0, 74601]	[174, 73722]	[2, 60620]	[16, 52610]	[156, 49987]	[52, 48452]	[0, 48053]	[0, 47328]	[1432, 45745]	[0, 36111]	[24, 35689]	[44, 33834]	[0, 33310]	[0, 33296]	[54, 26089]	[88, 25164]	[4, 24722]	[228, 22729]	[40, 22487]	[2, 21911]	[2, 21566]	[0, 19420]	[20, 18692]	[347434, 17583]	[0, 17221]	[50, 17179]	[26, 15787]	[22, 15656]	[128, 15462]	[60, 14934]	[0, 13838]	[2, 12781]	[1086, 12465]	[2, 11504]	[0, 11373]	[0, 11367]	[22, 11102]	[12, 10694]	[38, 10630]	[0, 10571]	[0, 10332]	[0, 10065]	[214, 7985]	[0, 7519]	[12, 7005]	[0, 6879]	[6, 6749]	[0, 6721]	[0, 6478]	[0, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[12, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
P52	[2204002, 32119850]	[1875560, 25180939]	[20963106, 25665789]	[1953226, 31577461]	[1616296, 30917075]	[2087108, 27601780]	[2441696, 28393506]	[1685434, 25851785]	[1332604, 26283457]	[1821762, 25992650]	[2604192, 26127079]	[1421554, 27870118]	[1992512, 25949660]	[1478886, 23203612]	[1194596, 23583831]	[1614156, 22562637]	[1123824, 23140758]	[5135494, 21926842]	[5149686, 21085167]	[1144777, 20466349]	[774350, 15987373]	[5475198, 15313470]	[96, 734684]	[0, 663028]	[10, 456284]	[800, 396661]	[0, 387508]	[0, 366410]	[0, 355565]	[0, 313636]	[2, 312114]	[18870, 284748]	[8, 269542]	[18, 267905]	[0, 262368]	[258, 255828]	[420, 255525]	[0, 237754]	[0, 209868]	[0, 197706]	[6, 182211]	[0, 177484]	[0, 173752]	[0, 170077]	[56, 165076]	[2, 152858]	[1350, 148969]	[3830, 146700]	[36156, 142023]	[0, 130955]	[78, 117560]	[116, 117522]	[0, 105387]	[104, 101492]	[22, 90080]	[0, 81241]	[0, 80797]	[18, 76435]	[0, 74917]	[0, 74601]	[70, 73722]	[0, 60620]	[8, 52610]	[122, 49987]	[52, 48452]	[0, 48053]	[0, 47328]	[844, 45745]	[0, 36111]	[8, 35689]	[6, 33834]	[0, 33310]	[0, 33296]	[26, 26089]	[12, 25164]	[2, 24722]	[78, 22729]	[40, 22487]	[4, 21911]	[0, 21566]	[0, 19420]	[0, 18692]	[956972, 17583]	[0, 17221]	[48, 17179]	[28, 15787]	[10, 15656]	[154, 15462]	[32, 14934]	[0, 13838]	[0, 12781]	[236, 12465]	[0, 11504]	[0, 11373]	[4, 11367]	[8, 11102]	[22, 10694]	[42, 10630]	[0, 10571]	[8, 10332]	[0, 10065]	[92, 7985]	[0, 7519]	[4, 7005]	[0, 6879]	[14, 6749]	[0, 6721]	[0, 6478]	[4, 5760]	[0, 4774]	[0, 4515]	[0, 4363]	[0, 4179]	[0, 4128]	[0, 4127]	[0, 4000]	[0, 3474]	[0, 2958]	[0, 2301]	[4, 2265]	[0, 2203]	[0, 2136]	[0, 2042]	[0, 1794]	[0, 868]	[0, 655]	[0, 480]	[0, 0]
