Sample	Sense	Antisense	Unstranded
IT1G	2.8	97.2	0.0
P1G	2.8	97.2	0.0
P2G	3.3	96.7	0.0
P31	3.2	96.8	0.0
P32	3.4	96.6	0.0
P33	3.3	96.7	0.0
P34	3.4	96.6	0.0
P35	3.2	96.8	0.0
P36	3.0	97.0	0.0
P41	2.8	97.2	0.0
P42	2.9	97.1	0.0
P43	3.3	96.7	0.0
P44	3.2	96.8	0.0
P45	2.8	97.2	0.0
P46	3.1	96.9	0.0
P47	3.1	96.9	0.0
P48	3.2	96.8	0.0
P49	2.9	97.1	0.0
P50	3.0	97.0	0.0
P51	3.0	97.0	0.0
P52	2.7	97.3	0.0
PNKD	2.7	97.3	0.0
PNKIT	2.5	97.5	0.0
PNKV	2.4	97.6	0.0
